,Name,Team,Team games,Played,Threat per fixture,Threat per game,Threat GW29,Threat GW28,Threat GW27,Threat GW26,Threat GW25,Threat GW24*,Threat GW24,Threat GW23,Threat GW22,Threat GW21,Threat GW20,Threat GW19,Threat GW18,Threat GW17,Threat GW16,Threat GW15,Threat GW14,Threat GW13,Threat GW12,Threat GW11,Threat GW10,Threat GW9,Threat GW8,Threat GW7,Threat GW6,Threat GW5,Threat GW4,Threat GW3,Threat GW2,Threat GW1,Threat GW29 6 - average,Threat GW28 6 - average,Threat GW27 6 - average,Threat GW26 6 - average,Threat GW25 6 - average,Threat GW24* 6 - average,Threat GW24 6 - average,Threat GW23 6 - average,Threat GW22 6 - average,Threat GW21 6 - average,Threat GW20 6 - average,Threat GW19 6 - average,Threat GW18 6 - average,Threat GW17 6 - average,Threat GW16 6 - average,Threat GW15 6 - average,Threat GW14 6 - average,Threat GW13 6 - average,Threat GW12 6 - average,Threat GW11 6 - average,Threat GW10 6 - average,Threat GW9 6 - average,Threat GW8 6 - average,Threat GW7 6 - average,Threat GW6 6 - average
11,Richarlison de Andrade,Everton,29,27,35.3448275862069,37.96296296296296,29.0,32.0,92.0,57.0,6.0,,0.0,0.0,77.0,37.0,44.0,35.0,32.0,14.0,52.0,48.0,29.0,14.0,54.0,60.0,32.0,20.0,43.0,27.0,39.0,19.0,53.0,18.0,30.0,32.0,36.0,31.166666666666668,38.666666666666664,29.5,27.333333333333332,32.166666666666664,32.166666666666664,37.5,39.833333333333336,35.666666666666664,37.5,35.0,31.5,35.166666666666664,42.833333333333336,39.5,34.833333333333336,37.166666666666664,39.333333333333336,36.833333333333336,30.0,33.5,33.166666666666664,31.0,31.833333333333332
12,Pierre-Emerick Aubameyang,Arsenal,28,26,35.17857142857143,37.88461538461539,12.0,,40.0,50.0,29.0,,0.0,0.0,21.0,16.0,51.0,88.0,54.0,5.0,44.0,24.0,50.0,37.0,22.0,39.0,11.0,8.0,47.0,19.0,59.0,44.0,53.0,23.0,33.0,106.0,21.833333333333332,23.333333333333332,23.333333333333332,19.333333333333332,19.5,29.333333333333332,29.333333333333332,38.333333333333336,39.166666666666664,43.0,44.333333333333336,44.166666666666664,35.666666666666664,30.333333333333332,36.0,30.5,27.833333333333332,27.333333333333332,24.333333333333332,30.5,31.333333333333332,38.333333333333336,40.833333333333336,38.5,53.0
13,Dominic Calvert-Lewin,Everton,29,27,34.793103448275865,37.370370370370374,4.0,64.0,84.0,76.0,27.0,,26.0,76.0,97.0,26.0,107.0,51.0,22.0,14.0,92.0,10.0,28.0,4.0,20.0,7.0,19.0,0.0,0.0,57.0,0.0,64.0,8.0,18.0,2.0,6.0,46.833333333333336,58.833333333333336,64.33333333333333,54.666666666666664,59.833333333333336,63.833333333333336,63.833333333333336,63.166666666666664,52.833333333333336,52.0,49.333333333333336,36.166666666666664,28.333333333333332,28.0,26.833333333333332,14.666666666666666,13.0,8.333333333333334,17.166666666666668,13.833333333333334,23.333333333333332,21.5,24.5,24.833333333333332,16.333333333333332
14,Diogo Jota,Wolves,29,25,33.62068965517241,39.0,22.0,67.0,68.0,21.0,55.0,,19.0,0.0,0.0,6.0,17.0,34.0,18.0,53.0,95.0,38.0,22.0,27.0,95.0,75.0,40.0,8.0,0.0,0.0,74.0,24.0,0.0,60.0,12.0,25.0,42.0,38.333333333333336,27.166666666666668,16.833333333333332,16.166666666666668,12.666666666666666,12.666666666666666,12.5,21.333333333333332,37.166666666666664,42.5,43.333333333333336,42.166666666666664,55.0,58.666666666666664,49.5,44.5,40.833333333333336,36.333333333333336,32.833333333333336,24.333333333333332,17.666666666666668,26.333333333333332,28.333333333333332,32.5
15,Sadio Mane,Liverpool,29,26,33.44827586206897,37.30769230769231,40.0,8.0,87.0,21.0,0.0,0.0,4.0,41.0,31.0,88.0,41.0,44.0,,31.0,0.0,31.0,60.0,40.0,39.0,78.0,22.0,4.0,45.0,32.0,6.0,66.0,37.0,30.0,38.0,6.0,26.0,20.0,25.5,16.166666666666668,27.333333333333332,34.166666666666664,41.5,46.0,39.166666666666664,39.166666666666664,34.5,34.333333333333336,33.5,33.5,41.333333333333336,45.0,40.5,38.0,36.666666666666664,31.166666666666668,29.166666666666668,31.666666666666668,36.0,34.833333333333336,30.5
16,Marcus Rashford,Man Utd,29,22,33.275862068965516,43.86363636363637,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,77.0,30.0,69.0,36.0,32.0,40.0,26.0,91.0,21.0,42.0,92.0,24.0,81.0,24.0,2.0,38.0,6.0,20.0,118.0,29.0,9.0,58.0,0.0,0.0,12.833333333333334,17.833333333333332,29.333333333333332,35.333333333333336,35.333333333333336,40.666666666666664,47.333333333333336,38.833333333333336,49.0,41.0,42.0,52.0,49.333333333333336,58.5,47.333333333333336,44.166666666666664,43.5,29.166666666666668,28.5,34.666666666666664,35.5,36.666666666666664,40.0
17,Sebastien Haller,West Ham,29,27,33.03448275862069,35.48148148148148,47.0,66.0,23.0,0.0,8.0,2.0,12.0,64.0,14.0,29.0,55.0,8.0,,63.0,0.0,2.0,0.0,55.0,9.0,69.0,8.0,37.0,54.0,78.0,8.0,30.0,90.0,110.0,0.0,17.0,24.333333333333332,18.5,18.166666666666668,16.666666666666668,21.5,29.333333333333332,30.333333333333332,38.833333333333336,28.166666666666668,26.166666666666668,21.333333333333332,21.333333333333332,21.5,21.5,22.5,23.833333333333332,29.666666666666668,38.666666666666664,42.5,42.333333333333336,35.833333333333336,49.5,61.666666666666664,52.666666666666664,42.5
18,Jamie Vardy,Leicester,29,26,33.03448275862069,36.84615384615385,36.0,0.0,22.0,2.0,17.0,,21.0,42.0,2.0,0.0,0.0,6.0,31.0,70.0,95.0,39.0,69.0,95.0,48.0,40.0,93.0,21.0,10.0,64.0,45.0,4.0,45.0,27.0,10.0,4.0,16.333333333333332,17.333333333333332,17.666666666666668,14.0,13.666666666666666,11.833333333333334,11.833333333333334,13.5,18.166666666666668,33.666666666666664,40.166666666666664,51.666666666666664,66.5,69.33333333333333,64.33333333333333,64.0,61.0,51.166666666666664,46.0,45.5,39.5,31.5,32.5,32.5,22.5
19,Anthony Martial,Man Utd,29,23,32.06896551724138,40.43478260869565,85.0,24.0,41.0,41.0,12.0,,37.0,16.0,69.0,14.0,66.0,41.0,47.0,10.0,44.0,0.0,61.0,24.0,45.0,11.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,29.0,71.0,40.0,28.5,36.0,31.5,35.666666666666664,40.5,40.5,42.166666666666664,41.166666666666664,37.0,34.666666666666664,33.833333333333336,31.0,30.666666666666668,30.833333333333332,41.166666666666664,41.166666666666664,31.0,27.0,19.5,17.666666666666668,0.0,6.0,10.833333333333334,22.666666666666668
20,Gerard Deulofeu,Watford,29,28,30.896551724137932,32.0,0.0,11.0,23.0,12.0,38.0,,48.0,47.0,51.0,47.0,14.0,47.0,42.0,27.0,40.0,10.0,4.0,51.0,32.0,35.0,22.0,25.0,2.0,12.0,41.0,85.0,2.0,113.0,12.0,3.0,22.0,29.833333333333332,36.5,40.5,40.833333333333336,42.333333333333336,42.333333333333336,41.333333333333336,38.0,36.166666666666664,30.0,28.333333333333332,29.0,27.333333333333332,28.666666666666668,25.666666666666668,28.166666666666668,27.833333333333332,21.333333333333332,22.833333333333332,31.166666666666668,27.833333333333332,42.5,44.166666666666664,42.666666666666664
