,Teams,Threat av adj,Matches,Threat GW29 adj,Threat GW28 adj,Threat GW27 adj,Threat GW26 adj,Threat GW25 adj,Threat GW24 adj*,Threat GW24 adj,Threat GW23 adj,Threat GW22 adj,Threat GW21 adj,Threat GW20 adj,Threat GW19 adj,Threat GW18 adj,Threat GW17 adj,Threat GW16 adj,Threat GW15 adj,Threat GW14 adj,Threat GW13 adj,Threat GW12 adj,Threat GW11 adj,Threat GW10 adj,Threat GW9 adj,Threat GW8 adj,Threat GW7 adj,Threat GW6 adj,Threat GW5 adj,Threat GW4 adj,Threat GW3 adj,Threat GW2 adj,Threat GW1 adj,Threat GW29 adj 6 - average,Threat GW28 adj 6 - average,Threat GW27 adj 6 - average,Threat GW26 adj 6 - average,Threat GW25 adj 6 - average,Threat GW24 adj* 6 - average,Threat GW24 adj 6 - average,Threat GW23 adj 6 - average,Threat GW22 adj 6 - average,Threat GW21 adj 6 - average,Threat GW20 adj 6 - average,Threat GW19 adj 6 - average,Threat GW18 adj 6 - average,Threat GW17 adj 6 - average,Threat GW16 adj 6 - average,Threat GW15 adj 6 - average,Threat GW14 adj 6 - average,Threat GW13 adj 6 - average,Threat GW12 adj 6 - average,Threat GW11 adj 6 - average,Threat GW10 adj 6 - average,Threat GW9 adj 6 - average,Threat GW8 adj 6 - average,Threat GW7 adj 6 - average,Threat GW6 adj 6 - average
1,Man City,284.15388606517996,28,92.79183292533658,,290.85893648449036,273.1466391614629,258.4925031255581,,280.97928893228493,372.5501138899219,213.46585526870933,211.7327956989247,217.22768556109423,98.36207183634632,458.1028249630723,148.1419471169409,524.2136015911872,262.2355495925263,273.30525919732435,256.71843123209163,392.94977827050985,428.11011916342403,297.62066359579666,282.8451724618817,281.0344909609895,295.7354809490415,387.1421430672681,295.6768592767295,185.48181008146634,256.87631893004107,412.35708831934267,208.15354817127562,261.4698857531758,281.5822228104046,281.5822228104046,268.394532679477,259.07470707941553,232.38630186454688,232.38630186454688,261.9068912030114,224.50553007418128,276.2968211279276,284.7139467768612,294.06020904956625,320.4529356155238,309.5940945000967,356.2554565078439,318.4899668419455,321.92490398683805,323.21310928078225,329.71595090027387,328.7480116997336,306.67580171861783,287.9859927995628,283.657850544256,305.54495010398153,290.9479613076872
2,Chelsea,220.94100984620792,29,276.17321178120613,213.9285432098765,171.44910921593137,285.6060312117503,175.72727412604624,,285.57483781578975,197.57006688963207,292.5687661498707,252.6563034623217,157.06616079868436,122.59081712062253,128.36702536167172,286.85872839506163,243.95300374006538,243.5700143450658,206.39697814451375,203.4312112440793,237.07734520267752,251.014855854089,239.73025988869009,213.2110305183946,150.36529912451357,339.88288441955183,160.61042524548617,268.1537434586108,191.2548101135721,222.14465605345904,197.54169436238303,192.81419828641367,234.74316789343337,221.64264374483773,234.74934756817007,248.28387994256843,226.86056820705747,218.00449203948685,218.00449203948685,191.80318996380052,206.68463354803876,198.58200647973788,197.06762496019522,205.28942785116678,218.76282687174296,236.88121351191057,230.90723475508184,230.20344411318592,225.1436134754074,215.80500030540733,238.54694583465277,225.80245917512084,228.65894044254117,220.57969881335484,222.0686364025323,229.93136894217716,205.4199212533208
3,Liverpool,219.66960783512206,29,153.96372427983536,94.61329182192586,325.8437399643175,195.8278675314465,250.92807879377426,139.64731712756463,236.5373632254995,247.04319155446754,224.2026812823718,344.7308923034756,166.2787404852521,255.7134816592811,,206.6045352029809,238.23860493827155,173.75897907900884,235.61202902240316,177.57916976571212,249.16380912065526,238.09653087663733,301.57458697981775,140.99538249694,312.6733567208271,178.26837238981102,172.08598137535813,261.7803386287625,197.65515305108326,323.05653527911215,156.11174367704277,171.83314858490562,193.4706699198107,207.23294307742137,232.63792636617833,215.69774991918734,240.51492071452557,226.40669766310518,245.75105841839127,240.7622537479715,239.29482264527215,230.88753894471168,212.70106173119962,214.5844666112763,213.49285452150534,213.49285452150534,218.7415204671147,229.29751747403907,223.83691804369425,236.68047266009827,236.79533976411474,223.94903513989857,227.89633643191942,210.57643077713033,240.91995624082566,214.82635406686163,213.75381676604403
4,Everton,186.24972402330678,29,55.011092406876784,244.63301407588733,214.18112836184233,186.73273521755297,186.3302583839968,,131.71337792642137,155.456447368421,239.62244653767814,176.62244697160375,263.42675585284275,230.9238421784933,89.24213681743429,85.56130048959606,308.9084419770773,213.6274588216661,173.30344965534218,138.55015133647794,289.2377091439688,85.28494150741201,143.37242617107938,263.4855040142729,141.88117421983696,370.59174141363286,255.0064134847628,169.36009670781888,269.3247205042816,89.62829179551578,114.88756864090996,115.33492469319447,169.76693439542962,186.5078268890203,185.67273229931877,179.41295206761234,192.19528884016063,199.62755280591003,199.62755280591003,192.54901262107887,180.89982147460805,192.44748738117457,198.61498935618496,183.59443832326818,168.19882318293233,201.53141857068806,201.48535874032405,173.89602277265772,182.2056969714255,176.968651065508,215.6422494117005,209.9370334684995,223.94955933523397,244.94160839076767,215.96540635430813,211.46647209115363,168.92366930441392
5,Man Utd,183.09782533211367,29,271.2416149921058,172.6082573632538,228.80969552853497,153.74895057306588,173.30460275927683,,248.53667759888685,140.3392065251821,178.7993573113207,129.4010983852797,196.6766621943947,184.39872909698994,184.3993748774269,253.15877746610556,258.6257259227055,146.83077558492585,151.20498081533577,173.54603139935244,311.8099618126272,101.29192386831274,219.82258647798733,93.55947101678808,99.60824205685617,144.57226164424355,110.6639116859946,110.28401341703592,264.33644941634236,211.44736193752323,128.80747502378682,268.0027578796561,208.04163313585403,186.2245650580334,187.2564150493779,170.68831552550202,177.84293412905683,179.69195518534232,179.69195518534232,169.00240473176567,187.80566655525294,201.11006132381706,204.0150075237581,196.43639396058163,194.62761101097533,215.86270883350872,190.5515665672099,184.08437665975688,175.2058258984006,166.60636943865399,161.77740781280252,128.25306612503041,129.7517477164843,137.17072487287678,156.8187066929993,161.6852455208211,182.25699489338982
6,Wolves,179.07239306752223,29,102.26564663951117,156.5022637971066,178.7993573113207,189.05830871491872,286.8111199510403,,204.27151171998727,120.6753356031128,130.0669607023411,153.50523877230827,123.18663683877095,463.63392330045986,191.18372838050308,219.8065502768351,223.58077647657834,183.56156779661012,253.82582823714813,152.34305349794235,155.3100934166571,307.8853720201483,135.82942098662204,43.09833414396886,115.11998775827745,84.95887428907628,195.88630066939376,239.79194126074495,211.7327956989247,172.21439077718145,98.817276621787,99.37680329886753,186.28470135564748,189.35298284958108,184.94709900045348,180.73141257728477,169.75280059792678,199.22326782283005,199.22326782283005,197.04197059958267,213.56383971186972,229.1494756742426,234.15886384495957,255.93206241135576,204.05025077760286,198.07131161696188,212.75111524084738,198.12588932585467,174.7153503837478,151.59771030393603,140.367013769125,147.12971497791446,135.78080985134721,148.43137230339767,169.95071507559976,167.23359655285137,169.63658472114992
7,Leicester,176.9811127106766,29,140.94219931203244,154.03061517295595,127.73587682767771,169.79167162226446,201.70733882521486,,262.607219000892,237.77327817531298,117.80211332684821,192.63081521739127,192.3444179304192,45.220410991447565,77.27232055007664,154.8046383647798,306.5150742319929,193.0883506569915,264.6659946236558,243.63286405295307,194.54785826200674,156.5259692264782,375.43437743190657,169.27891820711585,71.72892777953753,153.94001045150497,172.32833541703874,134.96993880048956,146.67070576131684,153.47608218990354,159.3911138968481,161.59483230256896,176.13582012683955,192.27433327071967,186.2362496297017,197.05207269465396,200.81086374601307,174.7297091070519,174.7297091070519,143.84055936524933,130.01245273016045,161.46461288101793,161.54086878761794,173.59446490315736,206.66320708007495,226.20913003206329,226.49601850901308,237.98256904233196,234.014330300686,201.858152493333,186.90934355975833,183.20608975226367,179.6134180145989,141.4861394028339,138.8523333999652,153.4626977528503,154.73850139469428
8,Brighton,164.06777072146144,29,77.28448501427211,277.3530331907772,148.75374119944496,134.19640370660912,183.56156779661012,,243.9109526748971,123.15337803964,130.03155388031786,315.9611461318051,145.05003497942383,78.2511318985533,135.7673034756839,208.70129230197097,185.01437321598473,248.98556172064167,166.84772331327204,124.82696024126044,97.61218788249693,208.98626179245275,108.1678412809724,162.8361331857462,212.7727406679764,129.76975644699138,170.40418269230767,177.1068450606241,175.04546083792872,172.39333657587545,146.67359723461192,68.54636448323198,177.51003059710175,185.15484610132975,160.60126621625318,188.4691670383132,190.27810558378235,172.72636626743952,172.72636626743952,154.70242473423733,168.96041044462584,178.12421366723697,166.9616162653764,170.59456432101777,178.35720237813564,171.99801644593776,172.04551136101807,159.23775603851604,144.8795179493668,152.53368750848418,153.357486876106,165.48948601107446,160.17624988910302,171.32251981526238,172.91538704695063,161.89886314138985,151.6949644807633
9,Southampton,161.50213641533057,29,103.72428511705682,137.89074710080283,174.46728555615667,125.24682965613195,371.1192350332593,,136.3881252324284,125.29454388677446,235.11097365829636,141.55541837828181,173.9177435849758,125.53813395415472,155.9942788502107,72.8976561106155,158.05605351170564,167.1890094339622,181.50304961757203,227.56744888445743,69.04330294530153,83.58026508477677,82.41003200393892,203.75000594671735,150.92786891117476,153.8645851937846,207.44586008230448,172.3654461517378,151.84118115055074,174.45316191446022,277.55976401647126,142.85966507652552,174.80608461597265,178.40112774425893,194.60449883717453,189.11918764086204,197.23100662900268,156.3008231158186,156.3008231158186,159.56851538544896,150.83570075608915,137.99321406499067,142.26547924093742,143.52969691303682,160.53458273475394,146.04275341726907,147.82318824629596,135.21551799500148,141.309017413794,136.2131539627278,123.92934334761566,146.9964362037828,161.79396638160964,173.36582457271163,168.4830172340021,189.58833308488485,187.75417973200834
10,Arsenal,157.09236828915496,28,124.71647190008916,,143.84021446937817,166.288139632107,132.09626565295167,,76.16920487106016,167.64310516127924,138.21883832279656,209.68544063647485,112.84326647564468,197.72183539094644,81.7012418186068,88.31122348580188,147.5518822479928,166.43232688391032,270.90811713836473,221.2381152723735,117.55548682914818,160.42385525689818,173.0023870397917,149.93432644705962,151.53271810699584,174.73786719706237,179.25658359103156,98.47505883506568,267.2847651366315,137.22055749128916,221.13893361160797,122.65808319397992,135.12556694781088,137.37596135159546,137.37596135159546,148.35016571277825,139.44268685336786,150.38028180970034,150.38028180970034,151.30228796762478,138.08030768837855,139.63581500924457,132.42696271715047,158.7711044942705,162.69048447450834,168.66619197626525,180.68496393811463,184.92671473674775,182.17704799727267,162.28114815871118,154.53110681282598,164.81462293980655,154.48982353616782,170.20355321897443,168.08459172634602,179.68562764378134,171.00566364326764
