,Teams,Threat allowed av adj,Matches,Threat allowed GW29 adj,Threat allowed GW28 adj,Threat allowed GW27 adj,Threat allowed GW26 adj,Threat allowed GW25 adj,Threat allowed GW24 adj*,Threat allowed GW24 adj,Threat allowed GW23 adj,Threat allowed GW22 adj,Threat allowed GW21 adj,Threat allowed GW20 adj,Threat allowed GW19 adj,Threat allowed GW18 adj,Threat allowed GW17 adj,Threat allowed GW16 adj,Threat allowed GW15 adj,Threat allowed GW14 adj,Threat allowed GW13 adj,Threat allowed GW12 adj,Threat allowed GW11 adj,Threat allowed GW10 adj,Threat allowed GW9 adj,Threat allowed GW8 adj,Threat allowed GW7 adj,Threat allowed GW6 adj,Threat allowed GW5 adj,Threat allowed GW4 adj,Threat allowed GW3 adj,Threat allowed GW2 adj,Threat allowed GW1 adj,Threat allowed GW29 adj 6 - average,Threat allowed GW28 adj 6 - average,Threat allowed GW27 adj 6 - average,Threat allowed GW26 adj 6 - average,Threat allowed GW25 adj 6 - average,Threat allowed GW24 adj* 6 - average,Threat allowed GW24 adj 6 - average,Threat allowed GW23 adj 6 - average,Threat allowed GW22 adj 6 - average,Threat allowed GW21 adj 6 - average,Threat allowed GW20 adj 6 - average,Threat allowed GW19 adj 6 - average,Threat allowed GW18 adj 6 - average,Threat allowed GW17 adj 6 - average,Threat allowed GW16 adj 6 - average,Threat allowed GW15 adj 6 - average,Threat allowed GW14 adj 6 - average,Threat allowed GW13 adj 6 - average,Threat allowed GW12 adj 6 - average,Threat allowed GW11 adj 6 - average,Threat allowed GW10 adj 6 - average,Threat allowed GW9 adj 6 - average,Threat allowed GW8 adj 6 - average,Threat allowed GW7 adj 6 - average,Threat allowed GW6 adj 6 - average
1,Aston Villa,247.3185580285996,28,189.33798076923074,,270.71615538063395,390.00957306338023,215.96435534974404,,165.2404195804195,182.5884504430249,184.83700567764225,250.476901836684,343.1033712121211,231.83354870204454,250.54514772482202,199.8555911878342,411.7641523525018,267.51829491680655,210.92207008530434,189.28484072410885,221.9409657398212,263.8832486136783,257.70544060825125,241.42250669688846,394.68248047323675,211.37806837925035,270.7752742350285,173.49030837004403,288.35931446907813,123.42299760765546,184.7695040214477,339.09165658010556,235.6428224310722,234.89265991580749,234.89265991580749,231.5194509918158,223.70175068327265,226.34661624198938,226.34661624198938,240.56407093272313,243.4419277235247,281.26311883600124,284.1033510160217,262.0731341615522,254.98168283189628,250.21431916772949,260.88559540537017,235.20914344799507,230.85984541134204,261.48658047599747,265.1687850851877,273.30783650105565,258.2423464604499,263.3513254372544,243.68474058904883,208.69924451375064,229.98484254722655
2,Norwich,221.78561042623213,29,197.50434893856553,182.9041658887229,225.85181976166828,191.8461548829328,223.82587005332581,,235.08910376320418,153.5746526931513,220.46605515703757,228.6195361726954,206.92174570862673,150.94250355698364,241.49523584905654,183.823282300224,134.02080820831236,238.8671959240888,361.7226945887786,236.4822320574162,149.17537878787874,273.8826756645373,271.0491760372237,175.17108822812574,295.27438652023073,261.93595099183193,274.91367274758,226.306846695062,319.58741015534423,215.6678388795603,186.5215583777715,168.3393137707948,209.50357721473657,202.18196117383422,208.44227605188667,208.90356212039117,211.41616059134017,199.2689328419498,199.2689328419498,200.33662152292518,205.37805979077066,190.97051863264974,192.6784619245487,218.47862007124067,232.73524148797944,217.3485986444498,232.358497538502,255.19655884332056,244.5805408939934,233.50582288256874,237.74810937163804,258.7044916982549,250.77518687000904,258.86489255636246,265.6143509982682,247.4888796411917,231.88944010435216
3,Bournemouth,211.58566743596842,29,144.07418746149102,198.38435353381158,246.81138620004958,345.63261064248974,267.7301340463286,,305.3284643519472,205.82295543303465,252.45064102564092,221.42841989334565,181.57407016278586,252.1723927990342,45.20802618515759,266.015383147611,222.93584796672823,128.67029171528586,218.83870488556337,183.81013902681227,379.95132262138634,119.29981339666534,92.94773601398599,102.91147771651733,193.26326825171884,352.6875347785763,280.2708432175975,196.91149999999993,166.36007048170273,187.79913717888653,273.23898454110906,103.45465896782005,251.32685603935298,261.6183173679436,270.62936528324843,266.3988708987978,239.0557808188471,236.4628239442981,236.4628239442981,193.1094175831665,203.1414888689292,198.22235669244375,182.76266866276714,188.9734411165634,177.5797321545264,233.37028156056454,208.91768660207356,187.25300127661652,182.9598656101551,178.6972928378477,206.84352546314167,190.2301122291769,203.16539332973264,215.40078240768545,229.54872565141363,242.87801169964533,201.3391990645193
4,Newcastle,205.0233172775502,29,133.7656297174897,118.51833891784557,265.3824766627771,208.7656694483808,291.77100275671944,,150.74564593301432,180.3494123034651,154.47873386295925,215.07324029126212,301.49129186602863,213.7852656068243,236.66142940490076,153.95165673864477,219.7578202501617,235.12422492686375,196.6855316826193,266.6283639473726,236.36098891055317,291.0528199629028,161.32272840119163,194.62707411082272,115.48221936797206,171.87476895070944,209.97671800947865,241.13469269870606,179.01045454545448,178.75438765404928,269.1530955662761,153.9905185535086,194.82479390603783,202.58875767036707,208.582156827886,200.1972840993002,215.6515545022415,202.65393164392563,202.65393164392563,216.97322888924,212.57360296176998,223.4534506929704,226.79528146557064,209.32765476833575,218.1348378250938,218.0847644093692,240.93495828007886,231.19577630525055,224.4462511692437,210.9123657834691,195.12009995069198,190.72272146717955,182.40303358981342,185.35098794719056,182.705540204395,208.31735290411234,205.33664450457886
5,Arsenal,194.8130304739525,28,202.02489856248545,,226.11846889952147,147.8356055290485,169.83555783072717,,240.46588307128675,193.9774855646626,127.5214498249708,138.3877835401318,132.25623568920773,220.76356324640503,104.57979186602869,98.34276584130966,151.80401982378854,283.0120981866886,213.73922294968983,283.455739163252,200.36737770724417,337.31115938430975,218.2799591598599,122.26459696196913,103.18296977821105,154.6125581620783,200.52215801000744,329.3333362470861,174.42094795334503,274.4992413739987,277.35734983866956,128.49262910468704,196.70964990962202,184.29240845336957,184.29240845336957,169.67062756013794,167.0740659201645,175.56206682277744,175.56206682277744,152.91438495523445,136.9752650013423,141.02236000114524,165.12641244223803,178.70691031898505,189.1556063051262,205.12020394532885,244.9482695358288,256.02759275850735,229.23634255438745,210.810300359141,189.33643685894538,189.36223357607255,188.03259638653535,180.7227611854495,206.09520192078776,235.12426526419753,230.7709437546323
6,West Ham,189.84875049193562,29,146.756064661733,166.67622115591973,281.32380814849034,184.2445793773934,212.00547856995667,120.56734634935303,274.8158070388349,166.76237081339707,162.23571519953597,75.58752437241041,201.2864941187453,235.51258751458573,,91.30035044209616,173.62689340261372,204.34212264150938,176.5921328804762,205.83838578345066,260.25161020104235,233.49735826550653,189.2750010661253,282.64808612440186,209.0892240373395,251.95841457470138,120.25421190383867,117.88940058830107,122.13669882839419,329.3333362470861,169.40150679991754,140.40503315897826,185.26224971047438,206.60554010665797,206.61989838290424,186.77188289141182,168.66237372391467,166.87587631537943,186.0334165095849,155.44750707679512,156.59159417499788,163.60932874866012,180.44343016667108,181.2020787774553,185.32524922519806,185.32524922519806,209.02475052909983,211.6327684730184,224.68376238683382,230.09994424631108,237.78661571151952,214.4537159953189,195.18572304911797,183.9960060094961,191.7768810299435,185.16226149037314,166.57003125441932
7,Spurs,186.3864223375814,29,408.0940742119631,174.0330039721946,146.53389749656537,280.9513752338016,174.17333227316288,,156.06355961405924,229.50058275058265,193.36272527726427,173.04601304722877,65.59193085228576,90.27984494127342,109.71255915127459,244.42837636544184,102.63443782576317,159.3845506979449,266.35603826468434,154.08678703918383,151.6551250778271,111.17491387559805,260.0918226278496,99.83275349650346,245.4800278178446,185.78559682984684,180.14681665421955,199.89848891481907,314.181997585682,156.12545256806058,277.84793481671227,94.7522285102233,223.30820713362445,193.54262522339437,196.76424544090602,201.18293136601656,165.28969063576392,151.30744274711566,151.30744274711566,143.58227600331824,146.0702416057948,130.9488603638779,128.6719499723306,162.1326345410637,172.76712489071542,179.75755254514084,157.5486421301669,183.7915395971813,173.86624006360773,170.38690498913445,175.6700399542449,180.418655216977,195.20591772351383,204.22094688315255,213.60306339507875,218.9977145615567,203.82548650828616
8,Crystal Palace,183.4828425996897,29,203.10801573426565,307.35722491242524,110.53129385349422,192.20069856459324,145.77701945465554,,158.18316530084104,241.11750420128334,156.05750537973017,169.63430392832527,224.00434817770102,143.8143345699049,150.59888787538588,231.27870389449822,204.25551864801858,141.57663295149888,238.25851638123595,147.10732825015398,194.62707411082272,157.16890636669152,195.33025507794042,183.0597267768957,151.80401982378854,204.6920600735125,209.2306901688182,152.7537494498239,117.88940058830107,220.46605515703757,250.40729954710991,118.71219617224875,186.19290297004582,192.52781771454875,167.31119779243292,177.1616994715714,182.46230774042272,182.13519359296427,182.13519359296427,180.87114735538842,179.23134730425758,187.26434951563897,182.58807101950126,184.96376572009038,185.51259800013193,192.85062903937137,180.49899611807027,179.01145218972394,185.92530116062338,171.5162184010488,181.1136737049419,183.5476097146078,182.8117502284632,169.90494114685666,176.13932921021365,192.57320916410052,178.24323184722323
9,Southampton,177.66382308096084,29,339.8837285994947,245.39747565499647,91.44691821335505,130.73672437329355,198.67072165742448,,78.12124854142354,123.19190168818268,113.05131861463776,167.9207884022887,63.186303967327866,96.1863532285147,236.88057127555825,188.32829527011359,279.0915169800729,114.22043131173902,80.32520396270394,226.33505747126432,321.27665789473673,264.81455621123746,360.2936333084391,43.99710774577953,117.97857388185007,146.2535898987676,107.98217767487202,251.58292067174418,263.4139879798371,182.5884504430249,123.60048713801599,195.49416728716795,180.70946950666462,144.59416502144597,122.53647218138617,135.28211721287514,124.02371381188084,106.94298574039586,106.94298574039586,133.40287286275168,144.25893845974016,171.93230485397933,162.98224533888774,165.8387286714504,187.53017937857533,201.59619381510512,214.34390397195907,227.87759002668676,216.1737027656935,222.4492644188845,209.10235315680174,173.55327312015763,171.34800053024208,155.20139297547507,178.29995009168263,179.23693563437698,187.4436985324437
10,Watford,177.46048239122453,29,143.60523628938154,74.31194932224275,226.1924462000775,140.99885895322478,181.8369354066985,,237.98234137451433,254.5895824163732,81.58653424323663,155.456447368421,152.04427365593972,366.79379088590747,182.29011487010465,162.27303219346882,43.65599183197199,183.823282300224,199.58681259434974,241.92403201787036,193.38310647829078,195.3785299954205,197.96732573726538,198.25486630721826,122.26459696196913,86.03878848063553,237.56294639979023,105.41632813730119,243.16884647768728,353.828918386274,112.11707416267939,72.02099989697092,167.4879612576899,185.98535227885517,187.19778309902082,175.40844996041142,177.2493524108639,208.07549499073207,208.07549499073207,198.7934572399971,183.4073655361797,177.08560846763558,181.81341428960275,189.7371707793378,168.9255443013316,170.77437623602927,176.2919592030212,202.01051485390346,204.4157788550692,191.52874291633907,165.5478689934666,172.91117564704984,157.9174753373633,165.4510621274336,191.3800708072762,189.68881700739462,187.35251891011717
