,Name,Team,Team games,Played,Creativity per fixture,Creativity per game,Creativity GW29,Creativity GW28,Creativity GW27,Creativity GW26,Creativity GW25,Creativity GW24*,Creativity GW24,Creativity GW23,Creativity GW22,Creativity GW21,Creativity GW20,Creativity GW19,Creativity GW18,Creativity GW17,Creativity GW16,Creativity GW15,Creativity GW14,Creativity GW13,Creativity GW12,Creativity GW11,Creativity GW10,Creativity GW9,Creativity GW8,Creativity GW7,Creativity GW6,Creativity GW5,Creativity GW4,Creativity GW3,Creativity GW2,Creativity GW1,Creativity GW29 6 - average,Creativity GW28 6 - average,Creativity GW27 6 - average,Creativity GW26 6 - average,Creativity GW25 6 - average,Creativity GW24* 6 - average,Creativity GW24 6 - average,Creativity GW23 6 - average,Creativity GW22 6 - average,Creativity GW21 6 - average,Creativity GW20 6 - average,Creativity GW19 6 - average,Creativity GW18 6 - average,Creativity GW17 6 - average,Creativity GW16 6 - average,Creativity GW15 6 - average,Creativity GW14 6 - average,Creativity GW13 6 - average,Creativity GW12 6 - average,Creativity GW11 6 - average,Creativity GW10 6 - average,Creativity GW9 6 - average,Creativity GW8 6 - average,Creativity GW7 6 - average,Creativity GW6 6 - average
21,Gerard Deulofeu,Watford,29,28,20.768965517241377,21.510714285714283,0.0,11.1,6.7,11.4,22.4,,17.9,15.8,19.4,24.3,72.8,14.5,14.4,3.8,45.3,16.3,2.8,59.3,13.3,26.5,7.6,12.1,11.3,12.9,0.3,92.0,1.0,32.3,29.3,5.5,11.583333333333334,14.216666666666667,15.6,18.533333333333335,28.766666666666666,27.45,27.45,26.86666666666667,24.86666666666667,29.183333333333337,27.850000000000005,16.183333333333334,23.649999999999995,23.466666666666665,27.25,20.966666666666665,20.266666666666662,21.683333333333334,13.950000000000001,11.783333333333333,22.7,21.599999999999998,24.96666666666667,27.96666666666667,26.733333333333334
22,John Fleck,Sheffield Utd,28,25,20.671428571428574,23.152,5.8,,19.5,36.8,27.6,,6.0,22.3,40.4,8.2,2.8,17.8,0.0,8.5,18.9,19.1,35.0,33.5,25.7,16.8,43.3,46.8,11.2,33.0,16.6,39.2,0.0,0.0,15.5,28.5,19.666666666666664,25.433333333333334,25.433333333333334,23.549999999999997,17.883333333333336,16.25,16.25,15.25,12.949999999999998,9.366666666666665,11.183333333333332,16.55,19.166666666666668,23.45,24.833333333333332,28.899999999999995,33.51666666666667,29.549999999999997,29.466666666666665,27.95,31.683333333333337,24.46666666666667,16.666666666666668,17.383333333333336,16.633333333333336
23,Raheem Sterling,Man City,28,24,20.414285714285718,23.816666666666674,15.1,,0.0,0.0,27.8,,9.0,13.5,0.0,0.0,26.2,1.8,36.3,31.4,30.6,8.3,34.8,4.4,4.9,49.6,37.3,41.8,18.1,52.3,0.0,57.8,14.5,12.8,30.6,12.7,10.9,8.383333333333333,8.383333333333333,8.383333333333333,12.75,8.416666666666666,8.416666666666666,12.966666666666667,15.949999999999998,21.049999999999997,22.433333333333334,23.866666666666664,24.299999999999997,19.066666666666666,22.100000000000005,23.21666666666667,28.8,26.016666666666666,34.0,33.18333333333333,34.550000000000004,30.75,25.916666666666668,28.0,21.399999999999995
24,Ashley Westwood,Burnley,29,26,20.313793103448276,22.657692307692308,30.0,15.4,22.6,21.5,43.9,,1.8,2.3,2.1,51.6,37.3,19.5,12.8,26.6,0.0,0.0,0.0,9.6,16.8,18.8,3.2,31.9,39.4,19.6,50.3,32.4,15.3,30.3,22.6,11.5,22.533333333333335,17.916666666666668,15.699999999999998,20.53333333333333,23.166666666666668,19.099999999999998,19.099999999999998,20.933333333333334,24.983333333333334,24.633333333333336,16.03333333333333,9.816666666666666,8.166666666666668,8.833333333333334,7.533333333333334,8.066666666666668,13.383333333333335,19.950000000000003,21.616666666666664,27.2,29.466666666666665,31.483333333333334,31.21666666666667,28.416666666666668,27.066666666666663
25,Sadio Mane,Liverpool,29,26,20.027586206896554,22.33846153846154,28.6,4.2,12.3,2.6,0.0,0.0,17.0,25.5,10.6,15.8,15.5,36.3,,15.2,0.0,28.1,32.9,24.7,22.3,45.7,32.6,36.3,16.5,3.6,3.4,26.0,16.6,51.2,56.0,1.3,7.950000000000002,6.016666666666667,9.566666666666666,9.283333333333333,11.483333333333334,14.066666666666668,20.116666666666667,19.816666666666666,15.566666666666665,18.483333333333334,21.333333333333332,22.866666666666664,20.53333333333333,20.53333333333333,25.616666666666664,31.049999999999997,32.416666666666664,29.683333333333337,26.16666666666666,23.01666666666667,19.733333333333334,17.066666666666666,19.55,26.133333333333336,25.75
26,Youri Tielemans,Leicester,29,28,19.33448275862069,20.025000000000002,21.5,1.5,15.6,3.8,27.3,,16.1,6.5,11.0,26.3,0.0,3.8,12.3,21.9,25.8,14.7,20.7,13.9,44.6,17.5,47.5,37.2,4.3,25.3,29.3,9.7,31.9,35.2,4.8,30.7,14.300000000000002,11.800000000000002,13.383333333333335,15.166666666666666,14.533333333333333,10.616666666666667,10.616666666666667,9.983333333333333,12.549999999999997,15.016666666666667,13.083333333333334,16.533333333333335,18.21666666666667,23.600000000000005,22.86666666666667,26.483333333333334,30.23333333333333,27.5,29.400000000000006,26.850000000000005,25.549999999999997,22.95,22.616666666666664,22.7,23.599999999999998
27,Raul Jimenez,Wolves,29,29,19.33103448275862,19.33103448275862,24.3,15.1,12.3,7.2,2.0,,36.3,6.9,5.4,4.7,10.3,38.2,26.2,17.4,44.8,27.1,29.8,24.2,46.3,14.4,32.3,3.6,31.0,12.0,41.6,5.3,2.8,24.4,2.5,12.2,16.2,13.300000000000002,11.683333333333335,10.416666666666666,10.933333333333332,16.966666666666665,16.966666666666665,15.283333333333333,17.033333333333335,23.600000000000005,27.33333333333333,30.58333333333334,28.25,31.599999999999994,31.099999999999998,29.01666666666667,25.099999999999998,25.3,23.266666666666666,22.483333333333334,20.966666666666665,16.05,19.516666666666666,14.766666666666666,14.799999999999999
28,Nicolas Pepe,Arsenal,28,24,19.117857142857144,22.30416666666667,5.8,,51.3,58.8,0.0,,1.7,29.1,16.0,53.6,0.3,1.3,0.0,12.9,7.7,14.8,0.0,1.7,1.1,0.0,67.0,35.8,19.6,6.0,61.8,14.2,29.2,17.7,26.3,1.6,24.45,26.150000000000002,26.150000000000002,26.53333333333333,16.783333333333335,17.0,17.0,16.716666666666665,14.016666666666666,12.633333333333333,6.166666666666667,6.116666666666667,6.1833333333333345,6.366666666666668,4.216666666666667,14.1,17.599999999999998,20.866666666666664,21.583333333333332,31.7,34.06666666666666,27.766666666666662,24.75,25.86666666666667,25.133333333333336
29,Ilkay Gundogan,Man City,28,25,19.110714285714284,21.403999999999996,35.8,,17.1,1.8,33.9,,0.0,42.6,0.9,23.1,3.8,2.2,14.8,19.6,11.3,0.0,26.3,10.3,36.0,42.4,31.8,42.3,41.2,14.8,0.0,23.3,2.3,13.4,40.3,3.8,21.866666666666664,16.05,16.05,17.05,17.383333333333333,12.1,12.1,14.566666666666665,10.733333333333334,12.466666666666669,8.616666666666667,12.366666666666667,13.716666666666667,17.25,21.05,24.46666666666667,31.51666666666667,34.0,34.75,28.75,25.566666666666666,20.65,15.833333333333334,15.683333333333332,13.85
30,Robert Snodgrass,West Ham,29,24,19.03793103448276,23.004166666666666,0.1,1.0,18.9,4.8,30.2,29.1,0.2,25.1,14.3,45.2,14.8,23.8,,32.1,18.4,22.8,42.3,67.7,14.0,73.3,36.5,0.0,0.0,0.0,0.0,0.0,16.2,0.0,5.5,15.8,14.016666666666666,14.033333333333333,18.05,17.283333333333335,24.016666666666666,21.450000000000003,20.566666666666666,25.883333333333336,24.766666666666666,26.183333333333337,25.7,34.51666666666667,32.88333333333333,32.88333333333333,39.75,42.76666666666667,38.96666666666667,31.916666666666668,20.633333333333333,18.3,6.083333333333333,2.6999999999999997,2.6999999999999997,3.6166666666666667,6.25
31,Bernardo Mota Veiga de Carvalho e Silva,Man City,28,24,18.48214285714286,21.562500000000004,3.4,,17.6,38.0,12.1,,0.0,43.7,0.0,0.0,40.9,3.4,17.9,14.2,26.4,43.2,1.3,0.0,24.3,25.1,47.8,42.5,4.9,0.3,33.0,33.2,1.1,21.8,21.4,0.0,19.133333333333333,18.566666666666666,18.566666666666666,15.633333333333335,16.116666666666667,14.666666666666666,14.666666666666666,17.650000000000002,12.733333333333333,17.13333333333333,24.333333333333332,17.73333333333333,17.166666666666664,18.23333333333333,20.049999999999997,23.616666666666664,23.5,24.099999999999998,24.150000000000002,25.600000000000005,26.95,19.166666666666664,15.716666666666667,18.466666666666665,18.416666666666668
32,Roberto Firmino,Liverpool,29,29,18.455172413793104,18.455172413793104,6.3,2.4,18.8,14.7,43.8,19.3,27.1,36.1,45.4,5.6,4.6,23.3,,13.1,21.9,10.3,3.1,4.0,11.0,45.5,14.8,5.8,26.5,14.9,12.6,49.6,26.9,5.8,7.2,14.8,17.55,21.016666666666666,26.63333333333333,31.066666666666666,29.549999999999997,23.016666666666666,23.683333333333334,21.349999999999998,18.983333333333334,13.133333333333333,12.716666666666667,12.616666666666665,10.566666666666666,10.566666666666666,15.966666666666669,14.783333333333333,14.033333333333333,17.933333333333334,19.75,20.016666666666666,20.7,22.71666666666667,22.71666666666667,19.5,19.48333333333333
33,David Silva,Man City,28,19,18.29642857142857,26.963157894736838,0.0,,0.0,39.1,0.0,,0.0,17.5,65.8,1.5,0.0,0.0,0.0,0.0,49.3,51.9,50.4,17.7,0.0,5.7,31.8,27.9,17.2,0.3,21.9,9.6,42.4,29.4,0.6,32.3,9.433333333333334,20.400000000000002,20.400000000000002,20.650000000000002,14.133333333333333,14.133333333333333,14.133333333333333,14.133333333333333,11.216666666666667,8.466666666666667,16.866666666666664,25.266666666666666,28.216666666666665,28.216666666666665,29.16666666666666,26.25,22.25,16.716666666666665,13.816666666666668,17.46666666666667,18.116666666666664,19.88333333333333,20.133333333333336,17.366666666666664,22.7
34,Frederico Rodrigues de Paula Santos,Man Utd,29,25,18.037931034482757,20.923999999999996,6.4,17.5,23.1,13.0,32.2,,28.4,27.9,8.5,19.3,4.2,47.1,50.3,52.0,22.2,21.5,39.9,6.5,19.1,38.5,2.8,2.2,8.0,10.8,21.3,0.4,0.0,0.0,0.0,0.0,20.099999999999998,23.683333333333337,22.183333333333337,21.55,20.083333333333332,22.566666666666666,22.566666666666666,26.21666666666667,30.23333333333333,32.51666666666666,32.88333333333333,38.833333333333336,32.06666666666667,26.866666666666664,24.616666666666664,21.383333333333336,18.166666666666668,12.85,13.566666666666665,13.933333333333332,7.583333333333333,7.116666666666666,6.75,5.416666666666667,3.6166666666666667
35,Aaron Mooy,Brighton,29,22,17.59655172413793,23.195454545454545,17.8,51.3,41.9,20.6,3.1,,68.8,5.7,0.0,31.3,68.3,13.3,32.8,21.0,4.5,38.1,15.9,42.3,0.0,0.0,0.0,1.5,14.9,0.8,15.0,0.9,0.0,0.0,0.5,0.0,33.916666666666664,31.899999999999995,23.349999999999994,21.583333333333332,29.53333333333333,31.233333333333334,31.233333333333334,25.23333333333333,27.78333333333333,28.53333333333333,29.66666666666666,20.933333333333334,25.76666666666667,20.3,16.8,16.05,9.95,9.783333333333333,2.8666666666666667,5.366666666666667,5.516666666666667,5.516666666666667,5.266666666666667,2.8666666666666667,2.733333333333333
36,Enda Stevens,Sheffield Utd,28,28,16.95714285714286,16.95714285714286,12.8,,6.9,32.6,5.3,,20.1,30.4,18.0,3.4,28.3,24.4,27.4,16.7,7.8,31.3,17.7,18.6,17.4,26.2,13.8,2.8,7.7,47.4,1.7,23.7,12.3,3.8,13.2,3.1,18.016666666666666,18.883333333333336,18.883333333333336,18.3,17.583333333333332,20.766666666666666,20.766666666666666,21.983333333333334,19.7,18.0,22.650000000000002,20.883333333333333,19.916666666666668,18.25,19.833333333333336,20.833333333333332,16.083333333333332,14.416666666666666,19.216666666666665,16.6,16.183333333333334,15.933333333333332,16.099999999999998,17.016666666666666,9.633333333333335
