,Name,Team,Creativity per fixture adj,Creativity per game adj,Creativity GW13adj,Creativity GW12adj,Creativity GW11adj,Creativity GW10adj,Creativity GW9adj,Creativity GW8adj,Creativity GW7adj,Creativity GW6adj,Creativity GW5adj,Creativity GW4adj,Creativity GW3adj,Creativity GW2adj,Creativity GW1adj
1,Kevin De Bruyne,Man City,44.35223360655739,48.0482530737705,31.749763412816694,43.41634314456036,51.58294895678093,75.91610096870343,28.99978390461997,0.0,27.999791356184804,91.1659873323398,30.66643815201192,22.249834202682568,35.24973733233979,106.41587369597617,31.16643442622951
2,Trent Alexander-Arnold,Liverpool,42.80096311475411,42.80096311475411,51.58294895678093,25.24981184798808,44.499668405365135,83.58271050670642,27.666460506706414,57.58290424739196,6.416618852459017,24.83314828614009,85.49936289120717,27.749793219076007,66.91616803278689,24.5831501490313,30.249774590163934
3,Lucas Digne,Everton,32.91001117734724,32.91001117734724,46.49965350223547,48.9996348733234,47.74964418777944,35.41640275707899,41.33302533532042,22.333166915052164,21.99983606557377,16.083213487332344,33.99974664679583,30.416440014903134,44.499668405365135,24.83314828614009,13.666564828614009
4,James Maddison,Leicester,30.512593144560356,33.055309239940385,42.49968330849479,40.249700074515644,92.33264530551416,16.999873323397914,27.166464232488828,11.916577868852462,0.0,25.749808122205664,7.74994225037258,16.41654433681073,30.83310357675112,43.74967399403875,40.999694485842035
5,Pascal Groß,Brighton,27.69210134128167,29.999776453055144,0.0,13.999895678092402,34.8330737704918,2.0833178092399405,58.08290052160955,48.33297317436663,27.916458643815204,34.41641020864382,57.58290424739196,0.6666616989567811,12.416574143070045,60.58288189269748,9.083265648286142
6,Emiliano Buendía,Norwich,27.134413189269747,27.134413189269747,0.08333271236959763,4.666631892697467,37.333055141579734,21.333174366616994,47.33298062593145,32.333092399403874,38.16638226527571,12.749904992548437,33.41641766020865,4.416633755588673,34.8330737704918,52.3329433681073,33.74974850968704
7,Jack Grealish,Aston Villa,25.647244783904622,30.310380199160008,62.83286512667661,0.0,0.0,2.0833178092399405,57.666236959761555,22.916495901639344,30.083109165424744,38.5830458271237,28.0831240685544,3.1666430700447092,11.249916169895679,58.332898658718335,18.416529433681074
8,João Filipe Iria Santos Moutinho,Wolves,23.749823025335328,23.749823025335328,36.499728017883754,25.24981184798808,46.74965163934427,26.16647168405365,3.83330476900149,13.33323397913562,6.083288002980627,14.416559239940389,48.33297317436663,0.7499944113263787,30.16644187779434,32.333092399403874,24.83314828614009
9,Gylfi Sigurdsson,Everton,23.698541356184805,23.698541356184805,18.166531296572284,35.66640089418778,0.9999925484351715,1.1666579731743667,0.6666616989567811,23.49982488822653,56.0829154247392,48.33297317436663,12.24990871833085,59.666222056631895,19.166523845007454,21.499839791356187,10.916585320417289
10,Raheem Sterling,Man City,21.589582712369598,23.388714605067065,3.6666393442622955,4.0833029061102835,41.33302533532042,31.08310171385991,34.8330737704918,15.08322093889717,43.58300856929956,0.0,48.16630774962742,12.083243293591657,10.666587183308497,25.499809985096874,10.583254470938897
11,Sadio Mané,Liverpool,21.551121460506707,21.551121460506707,20.583179955290614,18.58319485842027,38.08304955290612,27.166464232488828,30.249774590163934,13.749897540983609,2.9999776453055147,2.8333122205663193,21.66650521609538,13.833230253353207,42.66634873323399,46.666318926974675,1.0833252608047692
12,Youri Tielemans,Leicester,21.275482488822657,21.275482488822657,11.58324701937407,37.16638971684054,14.583224664679584,39.58303837555887,30.99976900149032,3.583306631892698,21.0831762295082,24.416484724292104,8.083273099850969,26.583135245901644,29.333114754098364,3.999970193740686,25.58314269746647
13,James Ward-Prowse,Southampton,21.24343144560358,21.24343144560358,34.41641020864382,23.16649403874814,1.0833252608047692,5.083295454545455,37.74971870342772,21.583172503725784,16.49987704918033,31.91642883755589,25.416477272727278,15.49988450074516,26.583135245901644,24.5831501490313,12.58323956780924
14,Mason Mount,Chelsea,20.999843517138604,20.999843517138604,0.49999627421758575,28.166456780923994,11.999910581222059,19.749852831594637,16.166546199701937,19.49985469448584,22.999828614008948,13.999895678092402,37.333055141579734,14.999888226527572,25.16647913561848,19.24985655737705,43.16634500745157
15,Andrew Robertson,Liverpool,20.794716840536516,20.794716840536516,19.416521982116247,24.749815573770494,20.08318368107303,26.66646795827124,27.666460506706414,14.083228390461997,14.166561102831597,13.916562965722804,28.0831240685544,4.166635618479881,41.499690760059615,15.249886363636366,20.583179955290614
16,Oliver Norwood,Sheffield Utd,20.179336810730256,20.179336810730256,19.166523845007454,15.166553651266767,2.3333159463487334,4.0833029061102835,13.083235842026825,35.83306631892698,16.166546199701937,0.6666616989567811,45.666326378539495,14.416559239940389,26.499802533532044,51.49961624441133,17.749867734724294
17,John Fleck,Sheffield Utd,19.87805700447094,23.49224918710202,27.916458643815204,21.41650707898659,13.999895678092402,36.08306445603577,38.99970938897168,9.333263785394934,27.499795081967218,13.833230253353207,32.66642324888227,0.0,0.0,12.916570417287632,23.74982302533532
18,Manuel Lanzini,West Ham,19.602418032786886,23.166494038748137,0.0,9.249931073025337,22.499832339791357,12.666572280178837,7.74994225037258,6.083288002980627,18.333196721311477,0.0,13.999895678092402,49.49963114754099,68.41615685543965,40.66636363636364,5.6666244411326385
19,Gerard Deulofeu,Watford,19.44857302533532,19.44857302533532,49.41629843517139,11.083250745156485,22.083168777943374,6.3332861400894185,10.083258196721314,9.416596497764532,10.749919895678094,0.24999813710879287,76.66609538002982,0.8333271236959763,26.91646609538003,24.416484724292104,4.583299180327869
