,Name,Team,Threat per fixture adj,Threat per game adj,Threat GW13adj,Threat GW12adj,Threat GW11adj,Threat GW10adj,Threat GW9adj,Threat GW8adj,Threat GW7adj,Threat GW6adj,Threat GW5adj,Threat GW4adj,Threat GW3adj,Threat GW2adj,Threat GW1adj
1,Raheem Sterling,Man City,46.409910581222064,50.27740312965724,4.999962742175858,51.66628166915053,38.33304769001491,69.16615126676604,29.999776453055144,40.833029061102835,63.332861400894195,0.0,79.16607675111774,8.333271236959762,54.166263040238455,101.66590909090911,61.66620715350224
2,Roberto Firmino,Liverpool,44.87146050670641,44.87146050670641,50.832954545454555,24.166486587183314,38.33304769001491,94.16596497764532,36.666393442622955,34.16641207153503,8.333271236959762,48.33297317436663,24.166486587183314,59.99955290611029,82.49938524590165,26.66646795827124,54.999590163934435
3,Mohamed Salah,Liverpool,41.02533532041729,48.4844871968568,0.0,39.99970193740686,29.166449329359168,77.4994225037258,0.0,78.33274962742176,56.66624441132639,29.999776453055144,60.83288002980627,48.33297317436663,55.83291728763041,24.166486587183314,32.499757824143074
4,Sergio Agüero,Man City,37.307414307004485,40.41636549925486,29.166449329359168,36.666393442622955,92.49931073025337,0.0,0.0,38.33304769001491,5.833289865871834,46.666318926974675,74.16611400894189,48.33297317436663,56.66624441132639,42.49968330849479,14.166561102831597
5,Sébastien Haller,West Ham,36.21767883755588,39.23581874068554,45.83299180327869,7.499944113263786,57.49957153502236,6.66661698956781,30.83310357675112,44.999664679582715,64.99951564828615,6.66661698956781,24.999813710879284,74.99944113263787,91.66598360655738,0.0,14.166561102831597
6,Neal Maupay,Brighton,35.897168405365136,35.897168405365136,21.66650521609538,6.66661698956781,77.4994225037258,24.166486587183314,49.1663002980626,61.66620715350224,1.6666542473919526,79.16607675111774,31.666430700447098,8.333271236959762,77.4994225037258,11.666579731743669,15.833215350223549
7,Teemu Pukki,Norwich,35.44845380029806,35.44845380029806,19.99985096870343,41.66635618479881,33.33308494783905,13.33323397913562,21.66650521609538,58.332898658718335,27.499795081967218,36.666393442622955,27.499795081967218,19.99985096870343,31.666430700447098,94.99929210134128,34.16641207153503
8,Marcus Rashford,Man Utd,34.80743293591656,34.80743293591656,34.999739195231,76.66609538002982,19.99985096870343,67.49949701937408,19.99985096870343,1.6666542473919526,31.666430700447098,4.999962742175858,16.666542473919524,98.3326005961252,24.166486587183314,7.499944113263786,48.33297317436663
9,Tammy Abraham,Chelsea,33.46128912071536,33.46128912071536,17.4998695976155,20.833178092399404,63.332861400894195,4.166635618479881,52.49960879284651,29.166449329359168,64.16618852459017,20.833178092399404,47.49964605067064,50.832954545454555,39.99970193740686,4.166635618479881,19.99985096870343
10,Raúl Jiménez,Wolves,32.82026825633383,32.82026825633383,72.49945976154993,34.16641207153503,96.66594634873326,10.83325260804769,19.166523845007454,24.999813710879284,10.83325260804769,22.499832339791357,10.83325260804769,44.999664679582715,35.83306631892698,18.333196721311477,24.999813710879284
11,Jamie Vardy,Leicester,32.43565573770492,32.43565573770492,79.16607675111774,39.99970193740686,33.33308494783905,77.4994225037258,17.4998695976155,8.333271236959762,53.33293591654248,37.499720566318935,3.333308494783905,37.499720566318935,22.499832339791357,8.333271236959762,3.333308494783905
12,Pierre-Emerick Aubameyang,Arsenal,32.11514530551416,32.11514530551416,30.83310357675112,18.333196721311477,32.499757824143074,9.166598360655739,6.66661698956781,39.16637481371088,15.833215350223549,49.1663002980626,36.666393442622955,44.16633755588675,19.166523845007454,27.499795081967218,88.3326751117735
13,Bernardo Mota Veiga de Carvalho e Silva,Man City,29.55106184798808,34.92398218398591,0.0,20.833178092399404,29.166449329359168,35.83306631892698,31.666430700447098,21.66650521609538,0.0,84.99936661698958,24.999813710879284,15.833215350223549,43.33301043219076,75.83276825633384,0.0
14,Wesley Moraes,Aston Villa,28.461326378539493,28.461326378539493,32.499757824143074,16.666542473919524,8.333271236959762,19.99985096870343,24.999813710879284,102.49923621460508,3.333308494783905,34.999739195231,19.99985096870343,35.83306631892698,30.83310357675112,25.833140834575264,14.166561102831597
15,Sadio Mané,Liverpool,28.397224292101342,28.397224292101342,33.33308494783905,32.499757824143074,64.99951564828615,18.333196721311477,3.333308494783905,37.499720566318935,26.66646795827124,4.999962742175858,54.999590163934435,30.83310357675112,24.999813710879284,31.666430700447098,4.999962742175858
16,Wilfried Zaha,Crystal Palace,28.33312220566319,28.33312220566319,55.83291728763041,4.999962742175858,20.833178092399404,35.83306631892698,17.4998695976155,9.999925484351715,47.49964605067064,28.333122205663194,18.333196721311477,43.33301043219076,35.83306631892698,23.333159463487338,26.66646795827124
17,Richarlison de Andrade,Everton,28.26902011922504,28.26902011922504,11.666579731743669,44.999664679582715,49.99962742175857,26.66646795827124,16.666542473919524,35.83306631892698,22.499832339791357,32.499757824143074,15.833215350223549,44.16633755588675,14.999888226527572,24.999813710879284,26.66646795827124
18,Diogo Jota,Wolves,28.204918032786885,33.33308494783905,22.499832339791357,79.16607675111774,62.499534277198215,33.33308494783905,6.66661698956781,0.0,0.0,61.66620715350224,19.99985096870343,0.0,49.99962742175857,9.999925484351715,20.833178092399404
19,Gerard Deulofeu,Watford,27.884407600596127,27.884407600596127,42.49968330849479,26.66646795827124,29.166449329359168,18.333196721311477,20.833178092399404,1.6666542473919526,9.999925484351715,34.16641207153503,70.83280551415798,1.6666542473919526,94.16596497764532,9.999925484351715,2.499981371087929
