,Name,Team,Threat per fixture,Threat per game,Threat GW13,Threat GW12,Threat GW11,Threat GW10,Threat GW9,Threat GW8,Threat GW7,Threat GW6,Threat GW5,Threat GW4,Threat GW3,Threat GW2,Threat GW1
73,James Tarkowski,Burnley,15.692307692307692,15.692307692307692,90.0,4.0,0.0,4.0,0.0,6.0,7.0,0.0,2.0,8.0,21.0,26.0,36.0
74,Allan Saint-Maximin,Newcastle,15.23076923076923,22.0,29.0,30.0,49.0,46.0,3.0,15.0,0.0,11.0,0.0,0.0,2.0,0.0,13.0
75,Dominic Solanke,Bournemouth,15.0,17.727272727272727,0.0,10.0,0.0,8.0,52.0,8.0,26.0,4.0,22.0,9.0,54.0,2.0,0.0
76,Pascal Groß,Brighton,14.923076923076923,16.166666666666668,0.0,21.0,12.0,9.0,40.0,30.0,19.0,15.0,17.0,0.0,0.0,27.0,4.0
77,Jeffrey Schlupp,Crystal Palace,14.846153846153847,17.545454545454547,9.0,2.0,17.0,0.0,0.0,36.0,16.0,41.0,20.0,37.0,4.0,11.0,0.0
78,Emiliano Buendía,Norwich,14.692307692307692,14.692307692307692,0.0,4.0,9.0,8.0,2.0,52.0,39.0,29.0,5.0,2.0,9.0,8.0,24.0
79,Sofiane Boufal,Southampton,14.615384615384615,19.0,32.0,11.0,0.0,0.0,0.0,0.0,13.0,59.0,22.0,45.0,2.0,0.0,6.0
80,Ilkay Gündogan,Man City,14.461538461538462,15.666666666666666,0.0,15.0,59.0,37.0,19.0,3.0,34.0,0.0,0.0,3.0,2.0,16.0,0.0
81,Jeff Hendrick,Burnley,14.461538461538462,18.8,19.0,24.0,6.0,4.0,36.0,35.0,36.0,21.0,7.0,0.0,0.0,0.0,0.0
82,Andrew Robertson,Liverpool,14.076923076923077,14.076923076923077,0.0,0.0,35.0,16.0,2.0,21.0,3.0,2.0,37.0,2.0,37.0,21.0,7.0
83,John Fleck,Sheffield Utd,14.0,16.545454545454547,37.0,7.0,19.0,2.0,10.0,17.0,24.0,2.0,63.0,0.0,0.0,1.0,0.0
84,Trent Alexander-Arnold,Liverpool,13.692307692307692,13.692307692307692,2.0,2.0,29.0,17.0,4.0,8.0,1.0,7.0,36.0,0.0,56.0,4.0,12.0
85,Roberto Pereyra,Watford,13.692307692307692,16.181818181818183,0.0,0.0,19.0,15.0,20.0,12.0,8.0,6.0,29.0,11.0,0.0,28.0,30.0
86,Onel Hernández,Norwich,13.461538461538462,29.166666666666668,58.0,24.0,6.0,63.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
87,Tom Cleverley,Watford,13.384615384615385,19.333333333333332,0.0,0.0,0.0,0.0,0.0,2.0,37.0,18.0,77.0,20.0,20.0,0.0,0.0
88,Che Adams,Southampton,13.153846153846153,19.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,52.0,10.0,56.0,16.0,21.0
89,Harry Maguire,Man Utd,12.846153846153847,12.846153846153847,6.0,14.0,4.0,24.0,0.0,31.0,15.0,21.0,21.0,0.0,19.0,4.0,8.0
90,Leandro Trossard,Brighton,12.76923076923077,23.714285714285715,12.0,0.0,35.0,8.0,0.0,0.0,0.0,0.0,0.0,59.0,17.0,35.0,0.0
91,Virgil van Dijk,Liverpool,12.23076923076923,12.23076923076923,56.0,2.0,4.0,17.0,0.0,4.0,2.0,0.0,29.0,2.0,20.0,2.0,21.0
92,Steven Alzate,Brighton,12.11111111111111,15.571428571428571,0.0,2.0,34.0,35.0,8.0,2.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0
93,Ross Barkley,Chelsea,12.076923076923077,26.166666666666668,0.0,0.0,0.0,0.0,6.0,0.0,51.0,0.0,2.0,29.0,51.0,0.0,18.0
94,Michail Antonio,West Ham,12.0,39.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,58.0,0.0
95,Cenk Tosun,Everton,11.692307692307692,38.0,72.0,39.0,21.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
96,Craig Dawson,Watford,11.461538461538462,11.461538461538462,6.0,0.0,2.0,18.0,0.0,17.0,2.0,0.0,0.0,40.0,20.0,7.0,37.0
97,Jetro Willems,Newcastle,11.384615384615385,14.8,0.0,49.0,2.0,20.0,6.0,24.0,0.0,18.0,17.0,10.0,0.0,0.0,2.0
98,Lucas Digne,Everton,11.384615384615385,11.384615384615385,11.0,6.0,8.0,2.0,3.0,2.0,3.0,25.0,14.0,12.0,12.0,28.0,22.0
99,Gary Cahill,Crystal Palace,11.384615384615385,13.454545454545455,0.0,0.0,4.0,20.0,0.0,36.0,22.0,7.0,17.0,24.0,18.0,0.0,0.0
100,Michy Batshuayi,Chelsea,11.23076923076923,18.25,6.0,36.0,20.0,0.0,0.0,19.0,8.0,8.0,49.0,0.0,0.0,0.0,0.0
101,Dwight McNeil,Burnley,11.23076923076923,11.23076923076923,0.0,7.0,0.0,29.0,26.0,4.0,8.0,6.0,4.0,13.0,20.0,29.0,0.0
102,Callum Robinson,Sheffield Utd,11.23076923076923,13.272727272727273,2.0,0.0,0.0,4.0,0.0,36.0,10.0,0.0,0.0,40.0,4.0,21.0,29.0
103,Conor Hourihane,Aston Villa,11.153846153846153,18.125,22.0,0.0,12.0,0.0,35.0,13.0,45.0,18.0,0.0,0.0,0.0,0.0,0.0
104,Philip Billing,Bournemouth,11.153846153846153,11.153846153846153,0.0,23.0,2.0,11.0,14.0,3.0,35.0,3.0,38.0,3.0,2.0,1.0,10.0
105,Georginio Wijnaldum,Liverpool,11.153846153846153,11.153846153846153,17.0,8.0,13.0,19.0,7.0,17.0,17.0,7.0,13.0,9.0,12.0,4.0,2.0
106,Adama Traoré,Wolves,10.923076923076923,11.833333333333334,14.0,12.0,6.0,30.0,1.0,26.0,8.0,29.0,0.0,2.0,8.0,6.0,0.0
107,Nathan Aké,Bournemouth,10.846153846153847,10.846153846153847,21.0,0.0,0.0,0.0,6.0,0.0,26.0,17.0,6.0,2.0,23.0,18.0,22.0
108,Jannik Vestergaard,Southampton,10.76923076923077,12.727272727272727,0.0,0.0,0.0,0.0,18.0,0.0,0.0,8.0,34.0,33.0,10.0,4.0,33.0
109,Manuel Lanzini,West Ham,10.538461538461538,12.454545454545455,0.0,8.0,21.0,0.0,1.0,4.0,20.0,0.0,5.0,44.0,6.0,3.0,25.0
110,Tom Davies,Everton,10.538461538461538,19.571428571428573,42.0,62.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Alex Oxlade-Chamberlain,Liverpool,10.384615384615385,15.0,12.0,0.0,72.0,0.0,9.0,0.0,0.0,0.0,23.0,7.0,0.0,12.0,0.0
112,Bernard Anício Caldeira Duarte,Everton,10.307692307692308,16.75,0.0,0.0,0.0,2.0,41.0,0.0,0.0,6.0,18.0,12.0,4.0,41.0,10.0
113,Christian Benteke,Crystal Palace,10.153846153846153,12.0,8.0,0.0,19.0,2.0,17.0,2.0,0.0,19.0,39.0,1.0,2.0,21.0,2.0
114,Jonathan Castro Otto,Wolves,10.076923076923077,10.916666666666666,5.0,4.0,37.0,25.0,2.0,0.0,7.0,12.0,7.0,0.0,9.0,23.0,0.0
115,Pierre-Emile Højbjerg,Southampton,9.923076923076923,10.75,13.0,0.0,0.0,0.0,6.0,1.0,21.0,59.0,2.0,2.0,0.0,25.0,0.0
116,Bukayo Saka,Arsenal,9.777777777777779,14.666666666666666,0.0,0.0,2.0,2.0,14.0,24.0,41.0,5.0,0.0,0.0,0.0,0.0,0.0
117,Erik Lamela,Spurs,9.76923076923077,14.11111111111111,0.0,0.0,0.0,0.0,10.0,18.0,0.0,3.0,19.0,9.0,20.0,9.0,39.0
118,Lucas Torreira,Arsenal,9.538461538461538,12.4,4.0,2.0,21.0,0.0,0.0,8.0,6.0,25.0,17.0,5.0,19.0,17.0,0.0
119,Christian Eriksen,Spurs,9.538461538461538,11.272727272727273,0.0,0.0,4.0,4.0,0.0,16.0,3.0,0.0,7.0,54.0,16.0,2.0,18.0
120,Jay Rodriguez,Burnley,9.307692307692308,9.307692307692308,1.0,0.0,10.0,42.0,5.0,17.0,19.0,0.0,0.0,17.0,0.0,10.0,0.0
121,Moise Kean,Everton,9.307692307692308,13.444444444444445,0.0,0.0,0.0,0.0,0.0,2.0,2.0,80.0,4.0,20.0,8.0,5.0,0.0
122,Oliver McBurnie,Sheffield Utd,9.307692307692308,11.0,17.0,0.0,0.0,0.0,6.0,8.0,42.0,0.0,8.0,2.0,21.0,13.0,4.0
123,Calum Chambers,Arsenal,9.23076923076923,13.333333333333334,0.0,0.0,6.0,6.0,28.0,45.0,4.0,31.0,0.0,0.0,0.0,0.0,0.0
