,Name,Team number,Team,Team games,Played,Creativity per fixture,Creativity per game,Creativity GW29,Creativity GW28,Creativity GW27,Creativity GW26,Creativity GW25,Creativity GW24*,Creativity GW24,Creativity GW23,Creativity GW22,Creativity GW21,Creativity GW20,Creativity GW19,Creativity GW18,Creativity GW17,Creativity GW16,Creativity GW15,Creativity GW14,Creativity GW13,Creativity GW12,Creativity GW11,Creativity GW10,Creativity GW9,Creativity GW8,Creativity GW7,Creativity GW6,Creativity GW5,Creativity GW4,Creativity GW3,Creativity GW2,Creativity GW1
19,Adama Traoré,20,Wolves,29,28,21.093103448275855,21.846428571428564,11.0,19.4,0.7,24.9,30.4,,40.3,26.5,26.4,32.5,1.3,46.1,49.9,18.8,3.4,27.3,16.7,34.3,18.8,27.3,33.6,3.7,14.3,20.5,49.8,15.8,1.3,0.8,15.9,0.0
20,Mesut Özil,1,Arsenal,28,18,20.817857142857143,32.38333333333333,18.1,,18.1,47.6,27.8,,3.1,53.3,5.0,17.8,36.7,50.8,0.0,13.8,31.3,35.2,71.3,60.7,18.7,54.8,0.0,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0
21,Gerard Deulofeu,18,Watford,29,28,20.768965517241377,21.510714285714283,0.0,11.1,6.7,11.4,22.4,,17.9,15.8,19.4,24.3,72.8,14.5,14.4,3.8,45.3,16.3,2.8,59.3,13.3,26.5,7.6,12.1,11.3,12.9,0.3,92.0,1.0,32.3,29.3,5.5
22,John Fleck,15,Sheffield Utd,28,25,20.671428571428574,23.152,5.8,,19.5,36.8,27.6,,6.0,22.3,40.4,8.2,2.8,17.8,0.0,8.5,18.9,19.1,35.0,33.5,25.7,16.8,43.3,46.8,11.2,33.0,16.6,39.2,0.0,0.0,15.5,28.5
23,Raheem Sterling,11,Man City,28,24,20.414285714285718,23.816666666666674,15.1,,0.0,0.0,27.8,,9.0,13.5,0.0,0.0,26.2,1.8,36.3,31.4,30.6,8.3,34.8,4.4,4.9,49.6,37.3,41.8,18.1,52.3,0.0,57.8,14.5,12.8,30.6,12.7
24,Ashley Westwood,5,Burnley,29,26,20.313793103448276,22.657692307692308,30.0,15.4,22.6,21.5,43.9,,1.8,2.3,2.1,51.6,37.3,19.5,12.8,26.6,0.0,0.0,0.0,9.6,16.8,18.8,3.2,31.9,39.4,19.6,50.3,32.4,15.3,30.3,22.6,11.5
25,Sadio Mané,10,Liverpool,29,26,20.027586206896554,22.33846153846154,28.6,4.2,12.3,2.6,0.0,0.0,17.0,25.5,10.6,15.8,15.5,36.3,,15.2,0.0,28.1,32.9,24.7,22.3,45.7,32.6,36.3,16.5,3.6,3.4,26.0,16.6,51.2,56.0,1.3
26,Youri Tielemans,9,Leicester,29,28,19.33448275862069,20.025000000000002,21.5,1.5,15.6,3.8,27.3,,16.1,6.5,11.0,26.3,0.0,3.8,12.3,21.9,25.8,14.7,20.7,13.9,44.6,17.5,47.5,37.2,4.3,25.3,29.3,9.7,31.9,35.2,4.8,30.7
27,Raúl Jiménez,20,Wolves,29,29,19.33103448275862,19.33103448275862,24.3,15.1,12.3,7.2,2.0,,36.3,6.9,5.4,4.7,10.3,38.2,26.2,17.4,44.8,27.1,29.8,24.2,46.3,14.4,32.3,3.6,31.0,12.0,41.6,5.3,2.8,24.4,2.5,12.2
28,Nicolas Pépé,1,Arsenal,28,24,19.117857142857144,22.30416666666667,5.8,,51.3,58.8,0.0,,1.7,29.1,16.0,53.6,0.3,1.3,0.0,12.9,7.7,14.8,0.0,1.7,1.1,0.0,67.0,35.8,19.6,6.0,61.8,14.2,29.2,17.7,26.3,1.6
29,Ilkay Gündogan,11,Man City,28,25,19.110714285714284,21.403999999999996,35.8,,17.1,1.8,33.9,,0.0,42.6,0.9,23.1,3.8,2.2,14.8,19.6,11.3,0.0,26.3,10.3,36.0,42.4,31.8,42.3,41.2,14.8,0.0,23.3,2.3,13.4,40.3,3.8
