,Name,Team number,Team,Team games,Played,Creativity per fixture,Creativity per game,Creativity GW29,Creativity GW28,Creativity GW27,Creativity GW26,Creativity GW25,Creativity GW24*,Creativity GW24,Creativity GW23,Creativity GW22,Creativity GW21,Creativity GW20,Creativity GW19,Creativity GW18,Creativity GW17,Creativity GW16,Creativity GW15,Creativity GW14,Creativity GW13,Creativity GW12,Creativity GW11,Creativity GW10,Creativity GW9,Creativity GW8,Creativity GW7,Creativity GW6,Creativity GW5,Creativity GW4,Creativity GW3,Creativity GW2,Creativity GW1
82,Teemu Pukki,14,Norwich,29,28,11.551724137931034,11.964285714285714,11.1,1.1,12.7,0.8,2.6,,31.9,13.8,0.0,1.0,1.0,2.6,3.5,12.7,14.0,12.3,11.6,11.3,38.1,14.0,2.3,13.8,31.1,33.0,2.4,10.8,0.9,10.8,12.6,21.2
83,George Baldock,15,Sheffield Utd,28,28,11.446428571428571,11.446428571428571,5.1,,34.3,7.3,2.3,,15.1,0.9,20.4,0.8,2.1,16.7,12.0,7.4,15.5,38.6,20.0,4.3,6.6,10.4,1.2,5.8,10.0,15.2,1.0,26.7,5.9,22.8,8.3,3.8
84,Maximillian Aarons,14,Norwich,29,27,11.382758620689655,12.225925925925926,16.3,15.2,5.4,1.2,28.2,,6.6,21.1,2.1,30.3,2.3,46.8,2.8,15.8,4.3,30.7,1.8,11.4,3.7,0.8,22.4,12.5,14.0,4.4,0.0,0.0,12.3,2.1,14.2,1.4
85,Benjamin Mendy,11,Man City,28,14,11.321428571428573,22.642857142857146,2.2,,8.4,11.8,0.0,,0.0,75.8,34.3,37.7,0.0,11.0,55.3,20.8,0.0,0.0,28.3,6.5,0.0,0.0,7.8,12.8,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0
86,Djibril Sidibé,8,Everton,29,21,10.975862068965519,15.15714285714286,18.3,1.8,3.8,24.3,21.1,,18.8,3.7,3.2,20.1,31.2,44.8,6.3,0.0,35.9,0.2,19.3,9.4,15.3,3.2,15.5,20.6,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Ashley Young,12,Man Utd,29,12,10.917241379310344,26.38333333333333,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,17.2,16.8,5.1,88.1,39.3,10.0,29.7,14.4,82.3,0.0,0.0
88,Jordan Ayew,7,Crystal Palace,29,28,10.827586206896553,11.214285714285717,2.9,12.1,0.9,4.3,23.0,,13.2,2.2,12.9,19.8,2.6,38.8,46.8,15.2,4.4,2.1,3.1,13.3,3.9,3.4,12.5,2.7,2.1,26.6,1.8,13.6,14.9,2.1,0.0,12.8
89,Bamidele Alli,17,Spurs,29,22,10.734482758620688,14.149999999999999,2.8,12.9,0.7,13.2,0.6,,5.8,26.7,12.1,13.2,28.6,14.3,3.1,14.8,24.1,23.6,15.9,24.3,26.3,17.4,2.3,27.7,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0
90,Callum Hudson-Odoi,6,Chelsea,29,17,10.70689655172414,18.264705882352946,0.0,0.0,0.0,0.0,8.0,,40.5,40.0,40.7,4.9,3.8,18.7,0.0,10.6,1.6,0.3,3.3,0.0,0.3,1.3,15.8,72.0,34.8,13.9,0.0,0.0,0.0,0.0,0.0,0.0
91,Joshua King,3,Bournemouth,29,19,10.648275862068964,16.252631578947366,0.0,17.2,43.4,0.0,0.0,,0.0,0.0,0.0,0.0,12.8,4.6,4.8,10.9,0.0,0.0,0.0,0.0,19.9,21.1,25.6,20.8,13.0,17.0,3.2,42.9,22.5,13.2,3.5,12.4
92,Jonathan Castro Otto,20,Wolves,29,26,10.600000000000001,11.823076923076924,0.0,0.0,25.5,19.3,1.8,,2.3,11.0,3.9,2.3,11.9,32.6,3.3,4.8,22.7,19.8,13.3,24.4,2.1,35.9,22.9,2.9,0.0,3.3,16.7,4.3,0.0,5.3,2.8,12.3
93,Rúben Diogo da Silva Neves,20,Wolves,29,29,10.599999999999998,10.599999999999998,12.8,21.8,0.8,6.0,5.3,,16.7,0.6,3.8,3.1,0.8,46.3,14.7,25.6,26.7,3.5,6.8,12.5,32.5,13.1,5.0,0.7,0.7,0.4,0.9,2.3,5.5,26.3,1.4,10.8
94,Anthony Martial,12,Man Utd,29,23,10.44137931034483,13.16521739130435,1.7,2.4,13.1,2.9,16.1,,34.6,6.1,3.6,25.1,7.5,14.3,41.1,13.5,12.3,0.0,2.8,6.0,44.0,3.9,16.8,0.3,0.0,0.0,0.0,0.0,0.0,13.1,3.3,18.3
95,Emerson Palmieri dos Santos,6,Chelsea,29,14,10.289655172413791,21.314285714285713,0.0,0.0,0.0,0.0,0.0,,73.4,1.0,0.0,0.0,1.0,29.5,0.0,5.5,0.0,0.0,42.3,7.1,13.3,26.4,0.0,0.0,0.0,0.0,0.1,0.0,3.4,53.7,22.0,19.7
96,Alexandre Lacazette,1,Arsenal,28,20,10.250000000000002,14.350000000000003,11.8,,0.0,11.4,16.0,,2.9,11.5,21.9,26.8,2.8,25.7,0.0,0.0,0.0,22.8,17.1,25.4,2.3,36.9,16.2,11.1,0.0,0.0,0.0,0.0,12.1,0.5,11.8,0.0
97,Aaron Cresswell,19,West Ham,29,23,10.22413793103448,12.891304347826084,18.5,18.9,1.5,11.4,16.8,4.3,19.5,59.3,24.1,23.1,0.0,26.7,,3.3,2.5,3.6,16.1,12.9,13.5,7.8,3.8,0.0,1.3,3.9,2.2,0.0,0.0,0.0,0.0,1.5
98,Mark Noble,19,West Ham,29,26,10.079310344827586,11.242307692307692,39.1,12.3,3.0,15.7,22.7,2.2,1.7,27.1,2.3,14.4,0.0,14.2,,3.3,14.8,6.1,1.4,22.9,0.1,1.6,4.1,15.2,14.8,2.8,14.8,4.5,18.7,12.5,0.0,0.0
99,Allan Saint-Maximin,13,Newcastle,29,18,10.079310344827585,16.238888888888887,25.3,0.5,30.9,33.1,12.8,,0.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,13.3,11.5,1.8,2.0,31.2,15.2,15.7,39.4,22.0,0.0,10.2,0.0,0.0,1.0,0.0,1.2
100,Harry Kane,17,Spurs,29,20,10.037931034482764,14.555000000000007,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,30.5,24.4,17.8,16.5,12.1,30.0,5.9,24.8,12.5,11.5,0.0,10.8,2.8,28.8,1.3,2.9,18.0,11.8,2.8,1.8,24.1
101,Juan Mata,12,Man Utd,29,17,10.031034482758617,17.111764705882347,0.0,10.9,0.0,0.0,11.6,,68.1,6.5,44.1,16.3,0.0,22.7,19.7,11.1,0.0,0.0,13.2,0.0,0.0,0.0,0.0,0.0,2.8,0.0,14.3,13.2,34.1,0.7,0.7,0.9
102,Miguel Almirón,13,Newcastle,29,28,9.951724137931034,10.307142857142855,12.8,53.1,1.6,13.5,12.4,,2.3,6.3,4.6,1.5,1.8,10.3,7.9,0.0,17.2,1.8,12.9,22.5,25.7,2.7,26.8,3.3,0.9,13.1,0.5,1.3,14.0,1.4,2.9,13.5
103,Bernard Anício Caldeira Duarte,8,Everton,29,19,9.896551724137929,15.105263157894735,3.2,1.4,40.6,2.3,0.0,,27.5,3.8,51.6,0.0,0.0,37.8,0.0,14.0,0.5,17.0,0.0,0.0,0.0,0.0,0.7,12.8,0.0,0.0,12.6,4.6,1.5,1.7,34.9,18.5
104,Pablo Fornals,19,West Ham,29,27,9.73448275862069,10.455555555555556,11.8,24.9,4.3,0.0,0.3,0.0,3.9,5.1,1.0,10.1,18.5,13.1,,32.8,21.1,17.9,13.4,3.1,6.6,0.0,14.3,5.2,0.8,41.3,14.9,11.8,0.8,1.1,2.8,1.4
105,Reece James,6,Chelsea,29,17,9.682758620689656,16.51764705882353,0.3,59.3,27.9,16.7,1.5,,0.0,36.1,46.9,16.2,0.0,0.0,1.7,0.0,21.2,32.8,10.8,4.6,3.5,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Alex Iwobi,8,Everton,29,18,9.651724137931035,15.550000000000002,0.0,0.0,12.6,0.0,13.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.1,19.5,31.9,16.3,22.4,13.9,13.8,4.5,27.3,18.9,31.8,13.3,14.3,15.7,6.8,0.0,0.0
107,Conor Hourihane,2,Aston Villa,28,18,9.553571428571429,14.86111111111111,14.9,,0.7,0.0,0.0,,0.0,14.2,12.0,0.1,47.5,11.2,2.8,0.0,0.0,0.9,2.7,41.7,0.0,0.6,0.0,30.4,36.3,14.6,1.0,0.0,25.1,0.0,0.0,10.8
108,Dan Burn,4,Brighton,29,25,9.503448275862072,11.024000000000003,4.6,21.8,11.8,2.6,0.0,,0.0,0.0,0.0,0.0,1.3,0.8,19.9,14.4,6.6,12.4,17.1,17.3,1.5,13.8,1.9,21.8,25.8,1.1,22.4,16.0,1.5,12.6,25.3,1.3
109,Kyle Walker,11,Man City,28,21,9.47857142857143,12.63809523809524,0.0,,5.1,21.1,19.4,,4.3,0.0,0.0,0.0,7.1,15.7,14.8,3.1,16.8,9.3,23.2,0.0,2.3,28.1,0.0,0.0,3.1,18.8,2.8,8.5,3.8,4.3,30.5,23.3
110,Christian Pulisic,6,Chelsea,29,16,9.37586206896552,16.993750000000002,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,13.2,0.0,1.3,0.0,2.0,12.1,24.6,29.3,16.6,38.1,10.3,40.8,14.3,13.5,0.0,0.0,0.0,4.1,36.4,3.5,11.8
111,Mahmoud Ahmed Ibrahim Hassan,2,Aston Villa,28,24,9.325000000000001,10.879166666666668,0.0,,12.3,0.0,0.0,,25.3,11.8,15.1,26.4,0.0,27.9,18.5,0.0,1.4,0.9,1.3,0.0,15.6,2.3,12.0,17.0,0.3,14.3,24.0,0.0,1.2,11.5,7.6,14.4
112,Giovani Lo Celso,17,Spurs,29,19,9.324137931034484,14.231578947368423,18.1,30.2,30.7,26.0,13.6,,50.5,4.3,6.6,15.5,13.3,2.8,0.0,0.0,0.0,0.7,0.1,0.0,33.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,23.6,0.3,0.0
113,Danny Ings,16,Southampton,29,29,9.27241379310345,9.27241379310345,1.0,0.8,11.8,7.3,31.4,,0.0,1.9,11.4,1.3,2.5,0.2,17.0,11.7,3.3,21.8,26.6,11.3,0.6,1.7,1.8,10.9,10.8,12.6,10.3,0.7,14.8,31.6,0.8,11.0
114,Oleksandr Zinchenko,11,Man City,28,12,9.27142857142857,21.63333333333333,6.7,,0.0,0.0,5.3,,12.3,0.0,0.0,0.0,36.7,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,18.4,0.0,14.6,7.2,65.3,17.8,25.0
115,Tammy Abraham,6,Chelsea,29,25,9.162068965517244,10.628000000000004,0.0,0.0,0.3,0.0,10.9,,11.9,1.8,11.1,12.4,1.1,2.7,2.2,18.3,4.4,23.0,0.0,22.7,1.8,13.2,12.3,2.6,10.3,28.3,0.8,1.9,46.8,12.5,11.6,0.8
116,Neal Maupay,4,Brighton,29,28,9.120689655172415,9.446428571428571,14.0,3.2,2.7,11.0,0.0,,23.8,13.0,2.8,16.6,16.2,0.4,1.6,4.1,2.3,13.4,0.8,12.1,2.8,4.1,26.1,26.9,24.0,4.1,4.2,2.9,12.0,10.8,5.8,2.8
117,Sergio Agüero,11,Man City,28,22,9.085714285714285,11.563636363636364,1.5,,14.0,18.3,5.0,,20.6,2.2,25.3,0.0,5.1,1.3,0.0,0.0,0.0,0.0,0.0,22.3,1.7,1.1,0.3,0.0,12.6,2.8,38.1,13.3,23.1,34.6,10.9,0.3
118,Jesse Lingard,12,Man Utd,29,20,9.027586206896551,13.089999999999998,0.0,0.0,0.0,0.0,0.6,,1.9,0.0,0.0,15.3,0.9,18.6,4.1,32.3,2.2,46.3,1.9,43.6,2.6,22.7,11.1,0.0,0.0,13.5,0.8,0.0,12.2,14.3,3.6,13.3
119,Matt Ritchie,13,Newcastle,29,10,8.979310344827587,26.040000000000003,30.3,30.1,0.2,14.9,55.6,,25.5,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,35.2,32.5
120,Fabio Henrique Tavares,10,Liverpool,29,20,8.958620689655174,12.99,7.0,6.7,30.0,2.6,12.1,1.5,1.1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.3,1.1,0.0,33.0,24.6,6.7,16.5,16.4,18.3,12.8,51.0,0.3,11.8
121,Troy Deeney,18,Watford,29,18,8.948275862068966,14.416666666666666,12.1,11.2,12.7,3.2,15.0,,14.4,25.1,43.5,23.8,36.8,1.3,4.9,13.6,13.1,1.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,14.5
122,Ross Barkley,6,Chelsea,29,13,8.917241379310344,19.89230769230769,68.8,5.1,26.3,0.0,0.3,,5.6,4.3,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,25.4,0.0,21.1,2.8,60.0,0.0,14.4
123,Daniel Ceballos Fernández,1,Arsenal,28,14,8.842857142857143,17.685714285714287,17.9,,5.3,41.4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,17.4,5.0,41.3,2.2,15.8,7.8,22.7,1.4,48.3,2.9
124,Ismaïla Sarr,18,Watford,29,19,8.83793103448276,13.48947368421053,16.6,12.8,0.3,0.0,0.0,,0.0,56.3,24.3,26.0,17.4,5.2,0.6,17.8,28.3,16.6,1.8,0.8,0.0,0.0,0.0,0.0,0.5,13.3,0.7,15.8,0.0,1.2,0.0,0.0
125,Roberto Pereyra,18,Watford,29,23,8.734482758620691,11.01304347826087,4.1,12.0,12.8,1.5,2.3,,15.4,0.6,4.2,0.0,0.0,11.8,10.8,0.0,14.3,0.0,0.0,0.0,12.4,14.6,4.4,12.3,13.0,37.5,1.4,21.9,35.4,0.0,7.3,3.3
126,Erik Lamela,17,Spurs,29,17,8.634482758620688,14.729411764705882,22.8,0.0,3.5,0.0,1.7,,2.9,13.5,0.5,0.8,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2,24.9,11.8,39.6,19.2,11.9,14.5,15.1,38.3
127,Gabriel Fernando de Jesus,11,Man City,28,24,8.610714285714286,10.045833333333334,1.2,,4.6,26.7,1.9,,11.2,16.3,20.8,24.7,10.4,0.0,2.1,12.9,3.9,1.5,12.6,1.3,0.7,12.8,23.6,24.5,2.3,6.7,0.0,12.8,0.0,0.0,0.8,4.8
128,Granit Xhaka,1,Arsenal,28,22,8.592857142857142,10.936363636363636,7.3,,7.2,9.2,13.3,,1.0,7.5,1.8,7.3,0.0,41.3,4.3,0.0,9.2,22.8,4.3,0.0,0.0,0.0,13.1,4.0,2.3,2.7,16.5,2.0,37.1,2.2,0.0,24.2
129,Chris Wood,5,Burnley,29,26,8.555172413793104,9.542307692307691,23.7,2.6,0.0,0.1,43.5,,13.2,2.2,13.1,24.3,2.1,0.8,1.7,3.4,1.7,11.6,15.6,11.8,1.3,0.0,0.0,17.7,1.1,1.3,14.4,0.4,13.2,13.8,12.8,0.7
130,Ryan Fredericks,19,West Ham,29,20,8.524137931034483,12.360000000000001,0.0,0.0,0.0,0.3,5.9,0.0,0.0,0.0,0.0,29.7,16.3,0.0,,14.3,12.8,3.7,1.6,21.3,12.7,2.1,0.0,1.4,57.3,13.3,3.8,22.4,12.0,2.9,11.6,1.8
131,Harry Winks,17,Spurs,29,23,8.506896551724138,10.726086956521739,0.0,5.7,20.5,33.3,4.2,,2.2,13.1,5.9,0.0,0.0,6.9,0.0,0.0,0.0,2.5,0.1,17.3,14.9,0.0,0.8,15.2,3.5,4.0,16.0,3.6,22.1,24.5,0.8,29.6
132,Georginio Wijnaldum,10,Liverpool,29,28,8.26896551724138,8.564285714285715,25.6,2.3,17.2,5.3,11.8,15.4,4.8,13.6,6.9,6.3,2.8,9.3,,1.8,0.0,15.1,13.3,13.3,3.1,14.2,4.0,2.8,2.1,6.5,2.9,10.3,13.2,8.3,2.4,5.2
133,Matteo Guendouzi,1,Arsenal,28,22,8.267857142857144,10.522727272727273,0.0,,0.0,0.0,3.9,,1.5,0.0,0.9,0.3,2.2,0.0,0.0,6.8,2.3,0.0,15.4,19.8,12.6,12.8,22.5,15.1,20.4,4.5,37.8,14.9,18.1,1.4,3.9,14.4
134,Shane Long,16,Southampton,29,19,8.196551724137931,12.510526315789475,8.3,4.5,36.4,16.3,31.9,,13.8,0.4,23.3,3.0,0.0,0.0,11.0,14.5,23.9,23.2,1.8,21.4,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,2.2,0.0,0.0,0.0
135,Ondrej Duda,14,Norwich,29,7,8.182758620689656,33.9,27.6,36.0,12.8,21.8,73.1,,41.8,24.2,,,,,,,,,,,,,,,,,,,,,,
136,Jack O'Connell,15,Sheffield Utd,28,28,8.142857142857144,8.142857142857144,1.8,,31.8,21.1,5.8,,1.4,11.3,1.2,15.2,5.9,22.2,1.2,2.3,1.7,4.9,1.4,11.1,12.3,10.9,24.3,11.2,3.0,1.3,0.3,1.6,1.1,15.9,1.2,4.6
137,Alex Oxlade-Chamberlain,10,Liverpool,29,21,8.110344827586207,11.2,19.4,25.6,30.6,28.1,13.6,15.4,2.3,6.6,15.2,0.0,0.0,0.0,,0.8,8.9,0.0,13.8,2.2,0.3,14.9,0.0,2.6,0.0,0.0,0.0,20.3,1.3,0.1,13.2,0.0
138,Frédéric Guilbert,2,Aston Villa,28,23,8.057142857142859,9.808695652173913,0.8,,14.5,19.9,19.1,,17.7,2.0,0.0,4.9,11.2,0.0,5.4,1.6,0.3,0.0,14.5,7.4,1.5,0.5,15.7,16.8,11.9,16.1,15.8,11.3,15.6,1.1,0.0,0.0
139,Declan Rice,19,West Ham,29,29,8.003448275862072,8.003448275862072,5.8,11.4,15.2,12.4,11.3,20.1,5.3,2.9,1.6,11.9,27.1,6.3,,14.8,3.7,5.0,2.8,1.4,11.5,6.4,3.8,11.3,3.3,2.7,2.2,15.2,1.2,1.8,11.9,1.8
140,Marcos Alonso,6,Chelsea,29,11,7.934482758620692,20.91818181818182,4.7,51.2,25.2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,17.9,17.3,27.3,43.3,17.6,0.0,0.0,0.0,0.0
141,Jamie Vardy,9,Leicester,29,26,7.893103448275864,8.803846153846155,0.3,0.0,3.4,2.3,16.7,,5.3,1.3,20.8,0.0,0.0,1.6,15.5,5.3,21.7,3.3,16.7,12.8,21.8,0.9,3.0,16.5,1.8,12.8,11.2,11.3,13.6,1.8,2.3,4.9
142,Harry Wilson,3,Bournemouth,29,23,7.875862068965518,9.930434782608698,0.0,0.0,28.9,5.8,16.1,,13.4,11.6,3.4,0.9,1.4,11.0,0.0,0.0,0.0,15.1,0.6,1.0,1.4,3.3,24.2,6.4,14.8,20.5,0.8,2.3,13.5,27.7,4.3,0.0
143,Ahmed El Mohamady,2,Aston Villa,28,12,7.8428571428571425,18.3,0.7,,0.0,0.0,0.0,,0.0,0.0,30.5,0.0,17.3,17.1,0.0,0.0,30.8,34.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,14.5,1.8,0.0,0.3,70.6,1.0
144,Matt Doherty,20,Wolves,29,27,7.83448275862069,8.414814814814816,6.4,2.3,36.4,26.2,2.4,,2.2,0.8,3.3,3.5,0.0,8.6,26.6,14.5,4.7,2.2,13.8,4.7,13.8,16.3,14.0,1.4,0.3,12.8,2.1,1.7,0.0,3.6,0.8,1.8
145,Pedro Rodríguez Ledesma,6,Chelsea,29,9,7.827586206896552,25.22222222222222,25.8,40.3,0.0,40.8,6.8,,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.0,0.0,0.0,26.8,55.3
146,Dale Stephens,4,Brighton,29,24,7.817241379310344,9.445833333333333,0.2,0.0,0.0,0.0,13.3,,2.2,13.0,6.7,0.0,0.7,12.4,16.6,0.0,14.3,22.8,14.2,4.1,2.1,15.0,4.8,25.2,4.0,2.7,25.6,7.8,1.8,3.3,2.6,11.3
147,Francisco Femenía Far,18,Watford,29,19,7.6896551724137945,11.73684210526316,7.1,1.6,0.0,0.0,0.0,,0.0,0.0,0.0,5.9,2.0,1.8,17.8,1.7,19.5,13.4,5.3,8.0,0.0,14.8,0.0,0.1,0.0,0.0,1.7,38.7,16.3,30.5,1.9,34.9
148,Will Hughes,18,Watford,29,21,7.6689655172413795,10.59047619047619,4.6,11.2,29.2,18.3,0.0,,0.0,0.0,0.0,0.0,6.1,2.0,17.0,2.8,0.0,5.2,3.1,3.9,34.8,10.7,2.5,0.0,0.0,0.0,0.4,12.9,13.7,33.9,6.8,3.3
149,Luke Shaw,12,Man Utd,29,18,7.655172413793102,12.333333333333332,1.2,35.8,2.7,6.1,31.6,,23.4,0.4,0.0,15.3,0.3,8.9,17.1,5.2,1.4,13.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,29.7,3.0
150,Etienne Capoue,18,Watford,29,24,7.651724137931035,9.245833333333335,13.9,14.1,3.2,10.8,11.8,,2.7,3.0,14.8,1.7,37.8,1.4,1.6,11.9,2.3,5.8,16.1,28.3,2.8,0.0,0.0,0.0,0.0,5.4,10.9,14.4,0.0,2.4,2.2,2.6
151,Christian Benteke,7,Crystal Palace,29,20,7.627586206896553,11.060000000000002,46.8,24.3,2.1,21.8,22.5,,0.0,0.0,0.0,0.0,0.0,0.0,12.7,18.5,0.3,0.0,0.0,0.8,0.0,0.2,10.3,0.0,0.0,0.0,11.3,21.7,0.3,0.3,12.3,15.0
152,Bukayo Saka,1,Arsenal,28,18,7.567857142857144,11.772222222222224,37.2,,27.1,15.4,1.1,,2.0,5.2,0.0,0.8,12.2,11.6,2.0,1.1,0.0,0.0,4.8,0.0,0.0,1.4,0.7,17.7,26.3,30.0,15.3,0.0,,,,
153,Michail Antonio,19,West Ham,29,15,7.517241379310343,14.533333333333331,7.3,49.1,37.0,2.2,6.1,0.0,1.8,0.0,0.0,0.0,3.8,18.7,,43.1,3.2,0.0,5.9,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,1.2,12.3
154,Sean Longstaff,13,Newcastle,29,21,7.441379310344828,10.276190476190477,0.5,0.0,16.9,11.3,1.3,,3.3,0.4,12.6,0.2,0.0,15.2,1.3,2.1,0.0,0.0,0.0,0.0,0.0,0.0,34.7,1.3,48.0,11.2,0.0,0.0,41.7,0.5,11.5,1.8
155,Paul Pogba,12,Man Utd,29,7,7.434482758620691,30.800000000000004,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,29.3,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,0.0,0.0,47.5,27.6,17.3,47.8
156,Scott McTominay,12,Man Utd,29,20,7.406896551724138,10.74,0.1,3.2,0.3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,22.3,2.2,46.3,0.7,1.8,0.0,0.0,21.8,14.2,5.7,1.7,13.6,12.0,14.6,2.4,32.2,14.6,3.9,1.2
157,Steven Alzate,4,Brighton,29,19,7.382758620689656,11.268421052631581,0.0,1.4,0.0,1.4,0.0,,24.3,4.1,2.6,3.1,23.5,2.8,0.0,0.3,24.4,18.4,19.6,0.0,23.6,26.0,3.8,0.1,3.8,6.5,24.4,0.0,,,,
158,Jeff Hendrick,5,Burnley,29,24,7.36896551724138,8.904166666666667,12.2,23.1,2.8,20.9,30.8,,1.3,1.9,1.6,0.0,0.8,0.0,0.1,1.4,2.0,11.7,48.4,11.3,7.7,3.1,12.4,2.4,11.5,2.8,2.8,0.7,0.0,0.0,0.0,0.0
159,Theo Walcott,8,Everton,29,21,7.351724137931033,10.15238095238095,0.2,4.0,0.0,14.6,3.4,,41.6,13.1,16.2,1.6,11.0,0.0,0.0,0.0,13.8,0.0,0.0,3.2,39.1,14.3,2.1,27.0,0.0,0.0,5.2,0.7,0.0,0.6,1.5,0.0
160,Dominic Calvert-Lewin,8,Everton,29,27,7.303448275862068,7.844444444444442,1.9,3.8,5.2,13.9,5.6,,38.1,7.9,4.8,2.0,55.0,2.6,3.3,3.1,17.2,0.7,5.0,21.3,1.2,0.3,0.6,0.0,0.8,1.7,0.0,0.8,0.6,2.5,0.7,11.2
161,Douglas Luiz Soares de Paulo,2,Aston Villa,28,26,7.217857142857143,7.773076923076924,4.1,,4.7,16.6,24.6,,2.4,11.0,2.1,26.7,17.7,4.2,21.8,1.2,1.6,4.2,0.8,3.8,3.4,3.3,4.9,1.9,0.6,0.0,0.0,14.9,1.4,0.6,13.6,10.0
162,Andriy Yarmolenko,19,West Ham,29,15,7.1862068965517265,13.893333333333338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.4,0.0,1.3,0.1,1.2,17.5,0.6,48.6,14.8,18.6,29.3,14.8,12.8,24.3,22.8,1.3,0.0
163,Lucas Torreira,1,Arsenal,28,24,7.1678571428571445,8.362500000000002,0.0,,10.6,0.9,21.5,,11.7,6.7,4.1,2.2,3.0,13.9,13.2,11.8,13.6,13.3,0.8,2.1,2.1,2.8,0.0,0.0,0.5,5.3,17.6,0.6,27.3,14.8,0.3,0.0
164,José Holebas,18,Watford,29,12,7.16551724137931,17.316666666666666,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.9,11.2,27.6,0.0,0.0,4.3,1.6,21.4,10.5,20.8,0.0,44.8,27.9,3.8
165,Cédric Soares,1,Arsenal,28,16,7.0392857142857155,12.318750000000001,0.0,,0.0,0.0,0.0,0.0,0.3,30.5,1.5,17.6,2.7,1.0,1.4,32.8,15.2,15.5,20.9,1.8,0.3,0.0,0.0,0.0,0.0,0.0,47.1,2.8,5.7,0.0,0.0,0.0
166,Philip Billing,3,Bournemouth,29,27,7.027586206896554,7.548148148148151,25.6,13.3,3.2,3.2,22.8,,22.1,0.9,2.0,0.0,3.2,11.4,5.8,2.1,0.5,6.4,0.0,1.3,14.6,1.4,1.0,3.9,1.5,1.1,13.8,12.2,3.6,1.3,1.3,24.3
167,David McGoldrick,15,Sheffield Utd,28,21,6.9750000000000005,9.3,0.3,,14.8,0.0,0.0,,0.0,0.0,0.8,6.5,1.0,25.6,2.7,15.1,23.7,0.8,3.2,3.9,44.8,18.3,13.9,2.3,0.0,0.0,0.0,4.1,2.7,3.0,2.5,5.3
168,Moussa Sissoko,17,Spurs,29,20,6.9620689655172425,10.095000000000002,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.7,0.0,25.0,13.8,12.4,1.6,2.4,16.3,0.0,13.9,1.4,4.4,18.0,4.5,3.3,1.5,5.9,3.8,50.0,1.7,20.3
169,Danny Rose,13,Newcastle,29,17,6.948275862068965,11.852941176470589,4.8,12.0,4.9,2.9,0.3,,0.0,0.0,3.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.9,9.7,0.0,12.4,16.3,24.5,0.3,26.9,0.3,53.0
