,Name,Team,Team games,Played,Threat per fixture adj,Threat per game adj,Threat GW29adj,Threat GW28adj,Threat GW27adj,Threat GW26adj,Threat GW25adj,Threat GW24adj*,Threat GW24adj,Threat GW23adj,Threat GW22adj,Threat GW21adj,Threat GW20adj,Threat GW19adj,Threat GW18adj,Threat GW17adj,Threat GW16adj,Threat GW15adj,Threat GW14adj,Threat GW13adj,Threat GW12adj,Threat GW11adj,Threat GW10adj,Threat GW9adj,Threat GW8adj,Threat GW7adj,Threat GW6adj,Threat GW5adj,Threat GW4adj,Threat GW3adj,Threat GW2adj,Threat GW1adj
1,Roberto Firmino,Liverpool,29,29,0.5391230779389795,0.5391230779389795,0.8039640499284713,0.0,0.6820400881575454,0.5355801534462447,1.108652670036223,0.48954158798607084,1.1469555571616685,0.456378429860811,0.6372045902061361,1.069890426696274,0.3381250828467505,1.5075370943075772,,0.2071655505059448,0.2949837644764867,0.0,0.20088356548368,0.9380679905289713,0.3714142398746855,0.06500891791658982,0.6085084286965573,0.42408169416981867,0.7323060695777195,0.0,0.9799442695588483,0.08456646968796414,0.4491360695821327,0.3481719217702713,0.42070765483855277,0.7337529229284119
2,Mohamed Salah,Liverpool,29,26,0.5339236406606178,0.5955302145829967,0.11669891056929473,0.05622019612486987,0.1861048602015919,0.3168676669106018,1.3348656708324966,0.7624736833863434,0.7245783418882018,1.1107850140768412,0.0924901673521274,0.8680442427092687,0.6227239980939057,0.3613231457031189,,0.9431773155335361,1.054400872625338,,0.21331017572102826,,0.489834415195967,0.19969838527239855,1.015352430328898,,1.0856120871527146,0.796844073115941,0.1403363841024968,0.44963060379947567,0.2652160397524918,1.5396075984503474,0.38980459049716804,0.34778470976145476
3,Marcus Rashford,Man Utd,29,22,0.5321961276216123,0.7015312591375799,,,,,,,,,1.1693285361988355,0.17923636012591074,0.9935559213432382,0.4020210617712476,0.3715510696665461,0.2512256051318255,1.4272573324647826,1.0551522317857567,0.35350645565634864,0.558451768079679,1.6345462848086256,0.07533657754299031,1.1534134070323387,0.888141568361454,0.0,0.26277556910336114,0.0,0.9293705374640477,0.9276871551970269,0.8774149051299,0.13854996570891864,1.7851653884539267
4,Dominic Calvert-Lewin,Everton,29,27,0.5033862648538595,0.5406741363245158,0.48861311306872685,0.8613179682029345,1.4152507761334574,1.4578440662801742,0.5032445367346532,,0.44327441121917693,0.92193805923982,0.8611628388811763,0.03101796371734515,1.1138865835428373,0.391748293106062,0.05468312361102106,0.1532222654039537,1.5011583892717753,0.3356370399176014,0.0897925391153247,0.0,0.12896511218917783,0.4572630669415252,0.2996197326844952,,0.0,1.9996368021218245,,0.7291012023891328,0.034590381126482106,0.26823878115472216,0.0,0.05699463470852267
5,Sergio Aguero,Man City,28,22,0.5013510888526339,0.6380832039942613,0.0,,1.246478934466262,0.42555330445697287,0.9570059771503031,,0.679501222182103,1.41544975266258,0.8792189023983977,,0.4077235768909146,0.0,0.0,,,,,0.5633889070230998,0.30368828169624207,1.0145924135174875,0.0,,0.3620445820352353,0.12805086090103504,2.226579393623564,0.750071636901387,0.43938046045445206,1.0165679088538995,0.6562610785622631,0.5662732940975503
6,Gabriel Fernando de Jesus,Man City,28,24,0.4970965786055294,0.5799460083731177,0.06323891858330236,,0.5521583053060035,0.8063862948319515,0.021817161134638993,,0.9623910065890469,0.05868751877342068,0.9590866046386718,1.519735870453456,0.0,,1.7814412169429252,0.4696875742180537,0.7084043563734617,0.8537101629227528,0.7277817998905916,0.0,0.0,0.574125721824017,0.6827197941412928,1.4323080806752524,0.043508354348895495,0.9172869321681667,,0.15169579636767816,,,0.4789037004840913,0.15362903028715383
7,Raheem Sterling,Man City,28,24,0.4970000215313998,0.5798333584532999,0.6729782608149598,,,,0.5124680309240299,,0.8280849270232653,0.3955264146789379,,0.0,0.01620301805142005,2.526813030780892,0.1898657056016466,0.729343548717159,0.12676693611156334,0.8539120781346009,0.6245989503906106,0.0,0.5284667526799021,0.07591980164868722,0.41044043859794893,1.1851938291967972,0.19871755510645925,0.849518169712816,,0.6370763728929376,0.0,0.5315833764809275,0.8401424425075936,1.1823809628260427
8,Raul Jimenez,Wolves,29,29,0.4814357196974704,0.4814357196974704,0.4677577191349279,0.6181564085287972,0.9851698995966702,0.8103666744645696,0.13778538682016342,,1.0906623825176123,1.696974273990391,0.5754247896137467,0.15611803546091757,0.09922060022873051,1.1835251901768187,0.4150350107537466,0.18925308260592907,0.0,0.32552930616576636,0.5744624502960871,0.6791969093323861,0.3699277144092307,0.2825645233602194,0.03877511483158594,0.7171617773076335,0.18960255901265474,0.17928094691942248,0.10598478020332258,0.1340040439371295,0.5751264748128538,0.9704213081923985,0.14829317792392457,0.24585533062900372
9,Chris Wood,Burnley,29,26,0.46957340368369554,0.5237549502625835,1.4124913294885657,0.08772070526995239,,0.0,0.0932348225494212,,0.7243970095173794,1.1967080054969472,0.20216910588277862,0.6588875273740017,0.0,0.5366685145063167,0.0,0.763920705762147,0.2607055120327087,0.0,1.2065386939889102,0.5695131973368919,1.1879816670958478,,,1.6876864232022692,0.15939979483458064,0.5216213901574083,1.4167438250405522,0.11268026017547514,0.08100599608143351,0.7156336714206156,0.0,0.021920549612969714
10,Jamie Vardy,Leicester,29,26,0.4679865762721859,0.521985027380515,0.5568276459562717,,0.677987750441917,0.0,0.3423193068280006,,0.08265534842271707,1.159217945894855,0.0,,,0.09102745377706388,0.6504950375329615,0.3550912258751307,1.0815347628189942,0.8453372239521841,1.2144751158619969,1.6861826679888416,0.6432033072656406,0.22942710959241014,1.8660242264765354,0.12501342183559092,0.0,0.6550687843183033,0.25197928907065675,0.0,0.5614659537601083,0.42922961011577326,0.06704752410743496,0.0
