,Name,Team,Team games,Played,Creativity per fixture adj,Creativity per game adj,Creativity GW29adj,Creativity GW28adj,Creativity GW27adj,Creativity GW26adj,Creativity GW25adj,Creativity GW24adj*,Creativity GW24adj,Creativity GW23adj,Creativity GW22adj,Creativity GW21adj,Creativity GW20adj,Creativity GW19adj,Creativity GW18adj,Creativity GW17adj,Creativity GW16adj,Creativity GW15adj,Creativity GW14adj,Creativity GW13adj,Creativity GW12adj,Creativity GW11adj,Creativity GW10adj,Creativity GW9adj,Creativity GW8adj,Creativity GW7adj,Creativity GW6adj,Creativity GW5adj,Creativity GW4adj,Creativity GW3adj,Creativity GW2adj,Creativity GW1adj
1,Kevin De Bruyne,Man City,28,26,0.514069944540057,0.5536137864277536,,,0.060282159658145366,0.8387046883631224,0.16608264046112658,,0.8986836478005583,0.6661403466362075,0.3122761362531873,0.1436389422965839,0.35452942222744166,0.4548004728685297,1.251614027072917,0.6894891921435405,0.6365372232293893,0.767631738667796,0.41443668844890447,0.17641313970398828,0.3666206005436538,0.6565591273300297,0.09727174110283802,0.07980269406633239,,0.7980753226590143,1.8865938956280517,0.07899341299973268,0.15092012517963274,0.4844093242472758,1.3423017143703013,0.621150023163295
2,Trent Alexander-Arnold,Liverpool,29,29,0.33228920315750027,0.33228920315750027,0.28227299674790773,0.0,0.8162424487774368,0.4686956652643973,0.0,0.11120758007887718,0.09825973764714588,0.14484664093365668,0.048314805063884685,0.7660704684281467,0.5907008612366226,1.0219196871612026,,0.06295621739698674,0.12529793280381857,0.12525583796083142,0.06911191959560319,0.29106804590708407,0.21955312474920988,0.2700486599016897,0.4314555245330088,0.17278563517490503,1.2464239685808505,0.0,0.4413531504308737,0.1620545852814885,0.16784293221103225,0.40825253618980506,0.2689703023042409,0.8254256272068019
3,Riyad Mahrez,Man City,28,23,0.3219452795435923,0.39193338379219933,0.597660390820875,,1.0249382530440831,,0.09511756700807834,,0.7103826635293363,0.0,0.3671089041523309,0.8669973974674753,0.14945248930873542,0.0,0.8561094475690816,0.0,0.524934505028335,0.047147076123461626,0.0,0.03850064014744775,,,,,0.0,1.6493194254710108,0.6691674558498191,0.07054326290744595,0.3703488175892871,0.09343053568173455,0.0,0.8833089955220472
4,Emiliano Buendia,Norwich,29,28,0.25536010582658486,0.26448010960610574,0.13802246409304633,0.1268198180278081,0.028180617069878313,0.15533792528973925,0.0,,,0.4106957118854152,0.17037437909022196,0.8258986627236372,0.11615910979057653,0.35682862347418204,1.4127030764644297,0.3987965122314271,0.2664888146992606,0.0,0.15780011920164574,0.0,0.0,0.09394762644067275,0.22226854778807753,0.1742850340134799,0.10955495386518065,0.14528714985327207,0.01944138831880988,1.0135742129995717,0.0,0.2826105591580631,0.20260898053690599,0.5777587819556596
5,Raul Jimenez,Wolves,29,29,0.2505425530594264,0.2505425530594264,0.10931731606251852,0.06778695806195853,0.045986618739701494,0.0,0.0,,1.0599147487426004,0.0,0.0,0.0,0.06140470411821423,0.9548132057356736,0.07197357142288688,0.04372967127827905,0.9886105033496518,0.3540145932687008,0.493471511293221,0.11769833782884596,0.16781498991263877,0.04327172369628272,0.5678173376255605,0.0,1.0481548361978648,0.0634844155322143,0.5945266405272239,0.0,0.0,0.06504806066863242,0.0,0.3468942946606961
6,Mohamed Salah,Liverpool,29,26,0.2435407521805765,0.27164160820141225,0.5568190058780637,0.0,0.02977166241873175,0.031057470324076974,0.90434753052021,0.5073628854716721,0.07417387267693998,0.6782794125282636,0.5532002855223924,0.7299465411142914,0.2829995852671588,0.7214264977288681,,0.0,0.5359246523821521,,0.11982125414600495,,0.0,0.0,0.03368819809786141,,0.23700505777302502,0.0,0.06454239558438765,0.4292435888354231,0.2126787272506628,0.08463961549319646,0.036411239800992465,0.2393423344223436
7,Andrew Robertson,Liverpool,29,28,0.23052365943855857,0.23875664727564994,,0.03494667686513595,0.23747770126297876,0.16758490922722175,0.0,0.0,0.14135291802750383,0.5572243063071696,0.0,0.8287855107957958,0.08368844881977563,0.647337654252605,,0.13732820152134206,0.0,0.17482584343659863,0.0,0.4022063719888741,0.3641395121403031,0.054067683602028294,0.4489541692459894,0.8618691714169519,0.019700824775152035,0.09776786256336542,0.6789275134373216,0.12898768508692,0.0,0.5581693164132069,0.024090003547440095,0.03575383898451728
8,Adama Traore,Wolves,29,28,0.22313335839525872,0.23110240690937509,0.12831822417348573,0.03007131867038649,0.0,0.1499427517369708,0.242799959432441,,0.9328295568100535,0.6108709087141492,0.5254424138965543,0.07902424629595903,0.0,1.1528488664376164,0.23912276285008938,0.030531770392529006,0.0,0.12705050720557487,0.12711126985822394,0.4574849601859614,0.08788449660691242,0.06988430056207234,0.28377179643411987,0.0,0.46811439660410786,0.1216919837175331,0.5110455874589022,0.06845260933377181,0.0,0.0,0.026572706085086252,
9,Richarlison de Andrade,Everton,29,27,0.22151587572862347,0.2379244591159289,0.48861311306872685,0.6145108885354771,1.2921843503357617,0.4840203038458927,0.43267119039152546,,,,0.23943183255885428,0.0,0.6656755224824378,0.021182159827749444,0.07156405197185041,0.028356444305286502,0.0,0.09527901115976198,0.24165729412392387,0.0,0.08294504541167062,0.0,0.39040543761969526,0.01639372858500414,0.1043434452843432,0.0,0.36071481827930235,0.7224216011706391,0.04848414535749017,0.0,0.0,0.023106011814688687
10,Dwight McNeil,Burnley,29,29,0.21535353556327744,0.21535353556327744,0.08825245258376697,0.07117980172630546,0.6769641267904741,0.1388281761481061,1.3233940471626469,,0.0,0.054735469168219364,0.4310764852222451,0.16392234953277468,0.022534509983681134,0.06382301770321677,0.0,0.11165540945576408,0.6631586942897097,0.0,0.11606636632553517,0.3366545666822433,0.44261328433735464,0.0,0.16892507787323927,0.06677833819959605,0.0,0.09004720652358683,0.9110968017168963,0.0,0.08803271809900187,0.08604416761498151,0.1294694641957007,0.0
