,Name,Team,Threat per fixture,Threat per game,Threat GW23,Threat GW22,Threat GW21,Threat GW20,Threat GW19,Threat GW18,Threat GW17,Threat GW16,Threat GW15,Threat GW14,Threat GW13,Threat GW12,Threat GW11,Threat GW10,Threat GW9,Threat GW8,Threat GW7,Threat GW6,Threat GW5,Threat GW4,Threat GW3,Threat GW2,Threat GW1
22,Anthony Martial,Man Utd,30.636363636363637,42.125,,69.0,14.0,66.0,41.0,47.0,10.0,44.0,0.0,61.0,24.0,45.0,11.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,29.0,71.0
23,Mason Mount,Chelsea,30.608695652173914,30.608695652173914,18.0,30.0,32.0,19.0,14.0,20.0,41.0,48.0,67.0,39.0,1.0,44.0,44.0,36.0,19.0,26.0,8.0,10.0,29.0,9.0,53.0,77.0,20.0
24,Harry Kane,Spurs,30.26086956521739,34.8,0.0,0.0,31.0,44.0,65.0,29.0,27.0,48.0,11.0,50.0,30.0,19.0,0.0,19.0,44.0,12.0,31.0,86.0,5.0,38.0,8.0,4.0,95.0
25,Wilfried Zaha,Crystal Palace,29.08695652173913,29.08695652173913,25.0,4.0,31.0,12.0,34.0,31.0,25.0,8.0,32.0,25.0,67.0,6.0,25.0,43.0,21.0,12.0,57.0,34.0,22.0,52.0,43.0,28.0,32.0
26,Heung-Min Son,Spurs,28.47826086956522,36.388888888888886,48.0,30.0,0.0,0.0,0.0,8.0,19.0,60.0,30.0,27.0,34.0,74.0,12.0,57.0,14.0,8.0,37.0,20.0,64.0,38.0,75.0,0.0,0.0
27,Riyad Mahrez,Man City,28.26086956521739,34.21052631578947,8.0,58.0,49.0,66.0,4.0,114.0,17.0,32.0,9.0,8.0,61.0,0.0,0.0,0.0,0.0,22.0,61.0,50.0,0.0,44.0,2.0,6.0,39.0
28,Bernardo Mota Veiga de Carvalho e Silva,Man City,28.08695652173913,34.0,68.0,0.0,0.0,4.0,12.0,6.0,0.0,50.0,41.0,4.0,0.0,25.0,35.0,43.0,38.0,26.0,0.0,102.0,30.0,19.0,52.0,91.0,0.0
29,Kevin De Bruyne,Man City,27.652173913043477,28.90909090909091,29.0,6.0,10.0,44.0,8.0,56.0,50.0,49.0,17.0,56.0,20.0,38.0,54.0,12.0,19.0,0.0,18.0,40.0,2.0,27.0,16.0,38.0,27.0
30,Wesley Moraes,Aston Villa,27.47826086956522,30.095238095238095,0.0,0.0,54.0,25.0,12.0,52.0,4.0,12.0,4.0,25.0,39.0,20.0,10.0,24.0,30.0,123.0,4.0,42.0,24.0,43.0,37.0,31.0,17.0
31,David Silva,Man City,26.0,33.22222222222222,55.0,37.0,0.0,0.0,0.0,0.0,0.0,62.0,26.0,36.0,6.0,0.0,79.0,59.0,34.0,28.0,0.0,89.0,11.0,15.0,44.0,0.0,17.0
32,Alexandre Lacazette,Arsenal,25.82608695652174,37.125,3.0,70.0,50.0,4.0,56.0,0.0,0.0,0.0,27.0,47.0,60.0,51.0,27.0,68.0,2.0,0.0,0.0,0.0,0.0,69.0,2.0,58.0,0.0
33,Willian Borges Da Silva,Chelsea,24.565217391304348,25.681818181818183,36.0,75.0,4.0,10.0,2.0,36.0,44.0,12.0,53.0,2.0,33.0,33.0,23.0,59.0,35.0,11.0,73.0,10.0,4.0,2.0,4.0,4.0,0.0
