,Teams,Creativity av,Matches,Creativity GW29,Creativity GW28,Creativity GW27,Creativity GW26,Creativity GW25,Creativity GW24*,Creativity GW24,Creativity GW23,Creativity GW22,Creativity GW21,Creativity GW20,Creativity GW19,Creativity GW18,Creativity GW17,Creativity GW16,Creativity GW15,Creativity GW14,Creativity GW13,Creativity GW12,Creativity GW11,Creativity GW10,Creativity GW9,Creativity GW8,Creativity GW7,Creativity GW6,Creativity GW5,Creativity GW4,Creativity GW3,Creativity GW2,Creativity GW1
1,Man City,1.9983295683549451,28,0.6037690453231335,,1.5311007127165794,1.8212384022772312,1.7015403732657433,,2.063447391614318,2.174454713240266,2.8152043223381042,1.7779875919222832,0.8959628716111183,0.4923858866095543,2.7722399309277534,1.299536308273673,1.7642728071659803,1.9771304577589035,1.3090223260223866,0.5521230455487967,1.2153282463550568,2.433011718094349,1.84294075332582,3.9746545869857073,1.2853650338947773,2.8512402130290866,4.867371119558811,2.0031225997954607,2.230952650308609,2.953893158584833,2.382596980780363,2.361334666609764
2,Liverpool,1.6056809241016363,29,1.7657454945147038,0.16138359904289246,1.7386183384805918,1.2001245114952326,3.3080945312976837,1.2675779238343239,0.745503343641758,1.969197615981102,1.579644251614809,2.6903780959546566,1.417968813329935,2.580213764682412,,0.9807279109954834,2.8644150719046593,2.39864619448781,0.688099842518568,0.9863536693155766,1.15117022767663,2.0194353349506855,1.2317226603627205,1.00082129240036,2.2547201234847307,1.1742356941103935,1.0300306528806686,2.15502842515707,1.0014327391982079,1.7273777555674314,1.4212224539369345,2.054856466129422
3,Chelsea,1.364818085787882,29,1.8629815801978111,1.2702774722129107,0.6364377252757549,0.6405756790190935,0.5984884388744831,,2.066697418689728,1.5678370296955109,1.8539710082113743,0.660066906362772,1.3957691006362438,0.8005907759070396,0.6072638873010874,1.5079979728907347,1.1590649224817753,1.673060692846775,1.324421925470233,0.6945193111896515,1.9508057907223701,1.6178615801036358,0.7070877999067307,1.6398748736828566,1.9752237424254417,2.8984353970736265,1.1650521541014314,2.365030463784933,1.3354594577103853,1.7484434843063354,1.0935265887528658,0.7629013080149889
4,Leicester,1.2178576305380155,29,1.5738148298114538,0.8775152042508125,0.5279773715883493,0.3993943938985467,1.544468391686678,,2.066265642642975,1.4407702460885048,0.7801141310483217,1.6931654773652554,1.6706298179924488,0.10237960144877434,1.0138822067528963,0.8334253206849098,3.7659829407930374,1.3033762201666832,2.0347957145422697,2.3185531720519066,1.13015924859792,0.8323933407664299,2.40853482298553,0.646336417645216,0.06767745316028595,1.7136987075209618,0.7095902431756258,0.2418501134961843,2.1200560573488474,0.5895060393959284,0.5411796607077122,0.3703784979879856
5,Everton,1.197821280726328,29,0.3727464322000742,1.5157435536384583,2.5987033918499947,1.3481695037335157,1.8129016067832708,,1.8911459185183048,1.810588277876377,1.6302445884793997,0.2084067016839981,2.0771377086639404,1.2772585693746805,0.3202333562076092,0.12185747735202312,1.1509130476042628,0.9465021640062332,1.2498619481921196,0.5580030791461468,1.807660661637783,0.6762836072593927,0.9556943587958813,1.3887792583554983,1.1654422990977764,2.155343361198902,1.0063006896525621,1.1420965362340212,1.2667009830474854,1.1639001592993736,0.7354414984583855,0.3827564027160406
6,Wolves,1.0718521958795086,29,0.5029519451782107,1.1185004524886608,1.9741905853152275,0.9123593308031559,1.1933310851454735,,1.7998455241322517,1.2551928851753473,0.9815738536417484,1.1143944459035993,0.22158145532011986,2.34384848177433,1.373122289776802,0.516088193282485,1.6463083550333977,1.7837538570165634,0.7698992136865854,1.1649932973086834,0.8767066076397896,1.1440628711134195,1.4320194125175476,0.05731265991926193,1.0399658977985382,1.1636285912245512,1.6886967718601227,0.22175652906298637,1.3160287197679281,0.41330123133957386,0.2453505303710699,0.8129486069083214
7,Man Utd,1.0482677695951585,29,0.5481759235262871,0.48180742003023624,1.2333926633000374,0.5884073190391064,0.6040636710822582,,1.0560133280232549,1.274342380464077,1.553230408579111,0.6306778835132718,1.4864203771576285,1.2980992645025253,1.381155289709568,0.7159820012748241,0.8726832084357738,0.5700165070593357,1.012458024546504,1.230056231841445,2.641464564949274,0.594919366762042,2.3359534218907356,0.7918619550764561,0.9064409211277962,0.895301079377532,1.2194615323096514,0.2111398633569479,1.707452037371695,0.7777025606483221,0.2103075496852398,1.57077856361866
8,Sheffield Utd,1.0318322228600405,28,0.8445771187543869,,1.5212357081472874,1.1605492122471333,0.596788801252842,,0.67388607095927,0.984072607010603,1.8734272299334407,0.5927142389118671,1.1926851831376553,1.1727993451058865,0.6469141729176044,1.7323528230190277,0.5475393645465374,0.7950970679521561,1.3621672093868256,1.1585324499756098,0.728129306808114,2.4629982188344,1.1364385075867176,0.8626178409904242,0.18926269188523293,0.9719609245657921,0.5080109164118767,1.8439429253339767,1.0164991188794374,0.5342466868460178,1.0943022994324565,0.6875541992485523
9,Arsenal,0.9836409561934748,28,1.559735824353993,,1.335673276335001,2.9144867956638336,1.4436940625309944,,0.5680766254663467,0.35155896842479706,0.5331730954349041,0.7253712341189384,0.7418857961893082,0.7904194677248597,0.8285180246457458,0.11478901654481888,1.133806874975562,0.8434777315706015,0.38325196504592896,0.5269674509763718,0.9011525791138411,0.8351751640439034,0.6966622434556484,0.8798517696559429,1.1669597029685974,1.4532162100076675,1.4826527126133442,0.9346867185086012,1.663055032491684,0.4666409008204937,1.133919458836317,1.1330880708992481
10,Southampton,0.9731760683694276,29,0.31489093974232674,0.7934545688331127,1.7898308057338,0.5847288426011801,0.4474824443459511,,1.130601298995316,0.6146794185042381,1.8008288908749819,1.4055522661656141,0.9231317415833473,0.5023993831127882,1.3347756117582321,0.4470725618302822,1.240480087697506,1.9119289889931679,1.7612613197416067,1.6148208379745483,0.028726950287818912,0.051992688328027725,0.39474374800920486,0.6873592622578144,0.2398782866075635,0.5431858636438847,0.8021089471876621,1.5067576467990875,0.7085757190361619,1.9760634116828442,1.7975823506712914,0.8672110997140408
11,Spurs,0.9696009661038888,29,0.30438745580613613,0.646423939615488,0.21991565451025966,2.094228617846966,0.4202931672334671,,1.2953768484294415,1.5073069874197245,0.9603160247206688,0.8385219164192677,0.9380499012768269,0.8218123447149992,0.2245263122022152,0.9892054293304682,2.3879570215940475,0.23006853088736534,2.7622021241113544,1.9337269738316536,1.0665405355393887,0.2433925699442625,0.6632380587980151,0.29265888780355453,0.41430991049855953,1.1900841519236565,1.3373453821986914,0.9640696495771408,0.540772408246994,1.0175558719784021,0.07454203255474567,1.7395993079990149
