,Teams,Threat allowed av adj,Matches,Threat allowed GW29 adj,Threat allowed GW28 adj,Threat allowed GW27 adj,Threat allowed GW26 adj,Threat allowed GW25 adj,Threat allowed GW24 adj*,Threat allowed GW24 adj,Threat allowed GW23 adj,Threat allowed GW22 adj,Threat allowed GW21 adj,Threat allowed GW20 adj,Threat allowed GW19 adj,Threat allowed GW18 adj,Threat allowed GW17 adj,Threat allowed GW16 adj,Threat allowed GW15 adj,Threat allowed GW14 adj,Threat allowed GW13 adj,Threat allowed GW12 adj,Threat allowed GW11 adj,Threat allowed GW10 adj,Threat allowed GW9 adj,Threat allowed GW8 adj,Threat allowed GW7 adj,Threat allowed GW6 adj,Threat allowed GW5 adj,Threat allowed GW4 adj,Threat allowed GW3 adj,Threat allowed GW2 adj,Threat allowed GW1 adj
1,Man City,1.0405589025878956,28,1.5166432733680177,,0.6425741987769666,0.10879093384388339,0.44389890375529684,,0.8558291403861968,0.906716746110222,1.3079813631896364,0.7863363391158918,1.3622059694600086,2.26257347618624,0.9007644081628252,0.2995161652833458,1.4250209742431308,0.5091631625774551,0.3407594511283599,0.6236515976484635,0.9236920265739342,0.9321346726383367,1.2490773490266602,0.9788009809392706,1.1272169168199062,2.148864885338553,0.3953296905757458,2.2922374561273666,0.9372652389682493,2.3223104036762923,0.0787286764446486,1.457564872096176
2,Liverpool,1.0466079865535352,29,1.5888555563801172,3.2664372632002863,0.775029096713845,0.504830460663705,0.7256060438719596,1.066596712196967,1.7525796703472714,1.2389822100531076,1.1679510105721218,0.7008454147213062,0.3437871034447713,0.10749512929695602,,1.160195231697317,0.18962645360457644,1.604833571765218,0.9444117082852225,1.5847895645929595,0.8329968167550763,0.8617407027688669,1.4511838053285029,0.6906499991473355,0.08725342574634588,1.3182450911331218,0.937378974211344,0.4762783428131107,0.6460866446183018,1.0482083613296327,2.169234754681017,1.1095224901121512
3,Wolves,1.0760450670135968,29,0.33621919266637806,2.0505425500466665,0.47475200053996486,0.46876880647373725,1.0393216243331087,,1.1146084843316957,0.7972004462061987,0.30188760305398615,1.2277096852691851,1.034202538075833,1.1125106511968847,1.6657067542734325,1.0447640200752168,1.0545556724745682,0.609566055070629,1.6267062994267725,1.0791130723950677,0.5498774178241663,1.0970236053311364,0.9896836825141612,1.3948458015006793,0.9088270165652259,1.2515687372643587,1.5233573855123985,2.3320143522033536,1.3537073771786974,1.2859898537992556,0.9971839226028046,0.48309233518875
4,Man Utd,1.0853621330266308,29,0.33895915621919687,2.2254515702517175,0.33826082383518413,0.7146597354013481,1.4574173984129237,,0.750624350029396,1.3915764717190329,0.3639805264619139,2.0715134821293137,0.40463414193095465,1.718390463376657,1.8267785049898138,0.25382904363126574,1.1672807029379801,0.5727743378073739,1.555960167283796,1.9665058093714132,1.2465847593051724,2.345212190667023,1.177317704052967,0.7157899753494432,1.0640708356730446,1.8252460788881177,0.6238741854855866,0.40791473891966123,0.7796167272545512,1.0462326206333639,0.2904766010457719,0.8345687547083085
5,Chelsea,1.1246359743264,29,0.40556306993682806,1.950576277814121,0.28081163330713094,0.5946678637133198,1.47440326031211,,0.604198374003937,1.461184831121894,0.8485884361701741,1.7719320981897373,0.8351424815052833,0.9940728376356576,0.2922061746121244,1.4869979685803827,1.8563602847745337,1.0003008094555699,1.3604588022517037,0.697496219462758,0.741006510327434,1.690866065648694,2.342863520735386,0.32248329380893004,1.286950677208291,0.6708226864212545,0.7143437687240473,1.437076198669789,1.1557220876357484,1.4231301821320936,0.8432797377703821,2.070937103536291
6,Leicester,1.1899981104700292,29,0.7813702283740513,0.7789311725753647,1.3628058272992243,1.0820367913523243,0.6134057843116082,,1.411708474047123,1.626888462473092,2.4820700732153367,1.2764971222343846,0.9497328928101304,2.614374218265401,2.0162237704407997,1.5323930809489,1.4424886626791316,0.22905753573499554,1.1367420754734159,0.8541776006974211,1.1010364046530867,0.6844772768596843,0.4632765515135052,1.9035399427826307,2.5997675854743196,0.08857881479688365,1.4124572076743658,0.9625041640743661,0.6803680561425963,0.7226133095670437,0.9321190157279933,0.7683031014316704
7,Everton,1.3000890853424332,29,1.5421363657427447,1.0468893868970313,1.4206034715849358,1.3410033162207875,1.0542111328986161,,0.9728116541622416,2.0453657702271713,1.6689835787898613,1.0091652835845226,2.6705971126371373,0.5915258317591966,0.9468342388530154,1.295758950202023,0.9590000343857644,1.6754297832418643,2.0298655032553556,2.3859020144739027,0.7519266829126694,0.25706268304530433,1.2548513365057348,0.5575143092302256,0.5848909805614726,1.7449617335896301,0.5610352593550482,1.7360070270380081,1.891794308030663,0.9945680825354745,1.3649229985438187,1.346964644666354
8,Sheffield Utd,1.3674779524826681,28,3.5893108992546696,,1.1542237050361388,1.3886650662604867,1.4991457242739028,,1.6129187830512661,1.306955683621578,1.0986901000745273,2.4061172761050047,0.6098436675396454,0.6842049873425915,0.46629609407375233,1.1301170044993,0.7711497387025029,0.8734099546783887,1.21635699795258,1.1605713333806542,1.5952284369488245,0.7499220682504818,3.070958264002119,1.0101252314957831,1.6550638100983448,1.3667763924958516,1.1507861979079008,1.5970756671282178,1.752660306469922,0.6262363078947548,0.37385288704397485,2.3727200839315503
9,Burnley,1.4200733419438616,29,1.200527483086972,1.8333929442760382,2.1551765878624276,0.7030436583317057,1.5743737186113305,,1.2355365538536818,2.117255149787973,2.2017426523428294,2.031413514575845,1.8611359582041436,1.341698703244944,0.16990839366549318,1.7790674423415436,2.5314581569317376,1.4384014470474438,1.4476351455422165,1.0348714189267,0.5759339899885287,2.853615598151089,0.7512337474037751,0.7411348351188196,1.2156985342692292,1.062357549525585,1.0549946366539855,1.836643802606396,0.832617821563003,1.2581645478181,1.241442118469261,1.1016508061711932
10,Spurs,1.4730931066868775,29,3.552406721967101,2.543527007158296,1.4027003655884964,1.990618435975664,1.8302078997143936,,1.875487859595112,2.742896591500619,1.2106311353947485,1.5315708515578639,0.35286224373814284,1.186574103134718,1.135411304716924,0.6808205707867114,1.1591932497484172,1.2880699824715354,1.2626657418096325,0.8032181722021513,1.0248090454209122,1.0507599284676277,1.5194258348185938,0.9711854286471677,2.9471934683462635,1.1776646705542568,1.1442549604673264,0.8922014975982047,2.0550241702295136,0.8415098917924723,1.8036089199430374,0.7432000405735376
