,Teams,Threat av,Matches,Threat GW29,Threat GW28,Threat GW27,Threat GW26,Threat GW25,Threat GW24*,Threat GW24,Threat GW23,Threat GW22,Threat GW21,Threat GW20,Threat GW19,Threat GW18,Threat GW17,Threat GW16,Threat GW15,Threat GW14,Threat GW13,Threat GW12,Threat GW11,Threat GW10,Threat GW9,Threat GW8,Threat GW7,Threat GW6,Threat GW5,Threat GW4,Threat GW3,Threat GW2,Threat GW1
1,Man City,2.637255270898874,28,0.6037690564990044,,2.4274900779128075,2.2070541251450777,3.260047343559563,,2.8730023484677076,2.4797229431569576,3.794244086369872,1.7975698839873078,1.0862805414944887,1.9816532284021375,3.5913870483636856,1.6955349557101727,2.0792120695114136,2.5621443428099155,2.484987258911133,1.2424111478030682,1.4837708109989762,3.3664131984114647,3.251281149685383,4.022366635501385,1.6188429202884436,3.10820309817791,6.638958435505629,2.3453390412032604,2.3081780709326267,3.1368473079055548,3.212668063119054,3.183768395334482
2,Liverpool,2.1348706802417494,29,1.8945327457040548,0.20603114739060402,2.52190332300961,2.136745821684599,3.8674177695065737,2.599910791963339,1.6071826294064522,2.0065498910844326,1.7456401586532593,3.4694423601031303,1.491243228316307,3.7697333991527557,,1.6206605285406113,3.072398578748107,2.4158452786505222,1.3888749657198787,1.7106094323098662,1.3318952806293964,2.402513239532709,2.1908991746604443,1.0321159679442644,3.748671719804406,1.9707900192588568,1.030030645430088,2.9328131396323442,1.2005730429664254,2.788210816681385,1.521897204220295,2.2361174263060093
3,Chelsea,1.947832566429058,29,2.028830260038376,2.0406293282285333,1.845388650894165,0.9402043353766203,0.8069949224591255,,3.386117972433567,2.054356697946787,2.8966064332053065,1.6719650775194168,1.4966558469459414,0.8599730134010315,1.4937439151108265,2.0330155473202467,1.2616577446460724,1.9794085510075092,2.7419731449335814,0.8204742856323719,3.3578728325664997,2.191346440464258,0.9883210025727749,2.3195886705070734,2.1520109586417675,4.282770451158285,1.2332131387665868,3.0679915146902204,2.3057949636131525,1.905989270657301,1.2262931521981955,1.0979563035070896
4,Man Utd,1.6975405921774178,29,1.7389012668281794,1.2003068309277296,2.504419439472258,0.6818140558898449,1.1916300430893898,,1.4165994841605425,1.420550087466836,3.134555898606777,0.7155629880726337,2.1338779740035534,1.9963847324252129,1.5318260453641415,1.4856472313404083,1.6338520869612694,1.4768314762040973,1.8480411283671856,1.33064841106534,3.652989748865366,0.6411288864910603,4.512320600450039,0.7918619886040688,0.9725687317550182,1.1340067945420742,1.278264096006751,1.103555291891098,1.9035579729825258,2.279232014901936,1.1433172300457954,2.374424636363983
5,Leicester,1.6664986450803176,29,2.4123922158032656,1.4265376944094896,0.7232685163617134,0.5276366835460067,1.6595584768801928,,3.0314307920634747,2.383139556273818,0.7801141496747732,2.6520729400217533,2.627665925770998,0.12099434249103069,1.0138821918517351,1.0650818543508649,4.103634737432003,2.2873539365828037,2.2847755383700132,3.5091722775250673,1.3705490697175264,0.9811672419309616,4.411885596811771,0.8342063743621111,0.09821069054305553,1.8243773989379406,1.2879502307623625,0.4591405764222145,2.2544452138245106,0.7048789169639349,0.9491786099970341,0.5437589576467872
6,Everton,1.6279040182747975,29,0.4459215998649597,2.446911462582648,2.7277955692261457,2.8338330537080765,2.96230898052454,,2.0525412652641535,1.954731710255146,2.0253300424665213,0.8645865079015493,2.8794988729059696,1.4752142801880836,0.4865230955183506,0.27908816561102867,2.041091039776802,1.7645343150943518,1.2498619388788939,0.8126933397725224,2.1042861081659794,1.1553235072642565,1.0492303110659122,2.298820946365595,1.33667553961277,2.3627034574747086,1.2653036247938871,1.5152766536921263,1.4884179653599858,1.256678672041744,0.8329132422804832,1.2411212623119354
7,Wolves,1.5666038493850623,29,0.9086182229220867,2.6913293972611427,3.6981254406273365,1.1449131136760116,1.5421067979186773,,1.8544207215309143,2.1772044952958822,2.0798816718161106,1.2325241528451443,0.3637643065303564,2.394049873575568,1.8173485938459635,0.7203825283795595,1.8962498176842926,1.8223749697208407,1.2870385637506843,1.2764991410076618,2.103806421160698,1.5148660354316235,1.9325524177402258,0.8874950557947159,1.1927186213433743,1.1636286247521639,1.7557239551097155,1.5205835867673159,2.0017250142991543,1.33127551805228,0.307355972006917,0.8129486013203859
8,Southampton,1.4615767712801182,29,0.3488713949918747,0.8700248040258884,3.0292571503669024,0.6940251998603344,0.7162981610745192,,1.130601303651929,0.7869741693139076,2.4502307334914804,1.5119242649525404,1.4843387668952346,0.9813211336731911,2.7393958047032356,0.8251237869262695,1.9474571235477924,2.0271853897720575,1.9671000204980373,3.09810377843678,0.7422811659052968,0.9201774951070547,0.4573337621986866,1.376953087747097,1.2704420136287808,1.1625578990206122,2.1802082508802414,1.5765888020396233,0.7696160096675158,2.092407390475273,2.141408383846283,1.0875191204249859
9,Burnley,1.414807033275479,29,3.3946203142404556,0.6176124475896358,3.0993532966822386,0.8926985524594784,2.2476719468832016,,0.7172840461134911,1.5546273430809379,0.810896884649992,2.374430033378303,0.386661603115499,0.5652521690353751,0.14431825280189514,1.4360236395150423,1.1077056378126144,0.4865477830171586,1.9521156139671803,2.92592865601182,2.4158032862469554,0.7166129574179649,2.2388011068105698,1.8189908601343634,0.5589120164513588,1.6691895322874188,2.393121622502804,0.34893189556896687,0.6173895671963692,1.2288703471422195,1.3997920341789722,0.9092405186966062
10,Spurs,1.401835222086259,29,1.136685675010085,1.9414985291659832,0.2658785954117775,4.343211870640516,0.42029318958520884,,2.329588670283556,1.7669708672910929,1.1058415584266186,1.0822402834892273,1.8218874149024487,1.0317407958209515,0.27666719630360603,0.9892054218798876,2.3968399427831173,0.5423152688890696,2.9704277692362666,2.212340787053108,1.510397169739008,0.2433925699442625,1.3740125624462962,0.891617126762867,0.47850383073091507,1.1900841733440757,1.3373453728854656,1.0494440477341413,2.0270053036510944,1.261238044127822,0.07454203255474567,2.5820053704082966
11,Arsenal,1.3920539119280875,28,1.559735837392509,,1.3356732837855816,3.0225744768977165,1.4802504405379295,,0.5680766254663467,1.2288198815658689,1.6897787414491177,1.9476689100265503,0.7852138355374336,1.45131741091609,0.8902281476184726,0.2816097158938646,1.7918142899870872,0.9653770793229342,2.02565586194396,1.6179230064153671,1.0352114010602236,1.0314385052770376,1.5715987961739302,0.9497353145852685,1.2410904876887798,1.716124501079321,2.566419705748558,1.0061551239341497,1.9321654047816992,0.9855416603386402,1.1672230176627636,1.1330880708992481
