,Teams,Creativity av adj,Matches,Creativity GW29 adj,Creativity GW28 adj,Creativity GW27 adj,Creativity GW26 adj,Creativity GW25 adj,Creativity GW24 adj*,Creativity GW24 adj,Creativity GW23 adj,Creativity GW22 adj,Creativity GW21 adj,Creativity GW20 adj,Creativity GW19 adj,Creativity GW18 adj,Creativity GW17 adj,Creativity GW16 adj,Creativity GW15 adj,Creativity GW14 adj,Creativity GW13 adj,Creativity GW12 adj,Creativity GW11 adj,Creativity GW10 adj,Creativity GW9 adj,Creativity GW8 adj,Creativity GW7 adj,Creativity GW6 adj,Creativity GW5 adj,Creativity GW4 adj,Creativity GW3 adj,Creativity GW2 adj,Creativity GW1 adj
1,Man City,1.9708423172325311,28,0.836221066518401,,1.7474530736034233,1.3549799326375995,1.6241895631238386,,2.231432641456552,2.092651930451005,1.869336958445117,2.040264535392205,0.9689032079863581,0.6568646956333691,3.163971610639946,1.2491786201642658,2.443520581033044,2.0871542391262308,1.0629268050977707,0.7563755909512478,1.8069328904314443,2.2923468774434808,1.2237396891872523,3.8251284534397816,1.714734184565649,3.271836268687322,4.645403744834916,1.5661896259176376,2.130042890112773,2.4907141863911058,2.274285823666118,1.7568051955730095
2,Liverpool,1.6170044704473616,29,1.4888715050381012,0.1540240012388336,1.2935115777326585,0.938346239968155,3.1168366813488695,0.9430630540748359,0.9945346530681822,2.7273417598610314,1.5078347521059041,2.9094017737356754,1.8916335303577814,2.9448111650659,,0.936003645190609,2.4152665219358975,2.7524785807284,0.6569759232862453,0.9492471365958505,1.7027305047454526,1.3409346798949446,1.1757294279092707,1.3861390460609746,2.5733236077646677,1.2698302206538998,1.4110804648556539,1.7498841947237431,1.05716068386632,1.6604409953490524,1.3390543211138595,1.6066389947027204
3,Chelsea,1.3712250197427076,29,2.137796273402039,1.0710942985525946,0.6075057208235384,0.8871983114146101,0.6830579160085092,,1.9866118501955714,1.273084478209066,1.9571411860154357,0.6302109642274419,1.3416823432327827,0.7543045319559731,0.5796581046874736,1.2715395386634172,1.3300424965283153,1.1109368375304227,0.9853543221543849,1.0272844005739978,1.8774166594653232,1.54408202255989,0.7464359740239942,1.3315792447485113,1.8610259640457687,2.767334263743269,1.7321831057803427,3.155055938858813,1.4441792106681506,1.3670626285697582,1.2480474881321437,1.056619497766978
4,Everton,1.2254560275896849,29,0.510640345849108,2.0993071784817756,2.498002323274632,1.29745149318793,1.7302276128744423,,1.5356114629858297,1.3470563654510042,1.5565058695239524,0.30826062020986467,1.686636892685441,1.348335729222653,0.30782415196186264,0.1687727955977182,1.5766821246338267,1.407246063881698,1.4264738333725626,0.43628814026561913,1.7031505612428368,0.6455402374698157,0.9124666871761965,1.0332354202404872,1.230297083064594,3.188033186647771,1.088223627671083,0.9630125032650277,1.6898355097406865,0.7728467757933399,0.7019030616583142,0.3683571426707846
5,Leicester,1.1438821970887623,29,1.0450361289130727,0.6861063869095956,0.7809472090267976,0.532809904021226,2.1158294367270507,,1.5372773151384402,1.5209465389244738,0.7350117465767205,1.3748512424737014,1.242928918814438,0.15221654702906295,1.4996636641142693,0.6516336500656879,2.5006679054298377,1.243938180460729,2.3349552899073878,2.213681092153353,1.0863650070730646,0.8010787811964696,2.269285116723249,0.6823038857633013,0.10062188254302097,1.3915242359695885,0.6773327775046343,0.3349627832230747,1.7876251490805297,0.637497725403468,0.7413838074295968,0.49410140697826777
6,Wolves,1.1128137920335226,29,0.48020257836805363,1.067654220742755,1.5435684339144786,1.0412803701292883,1.6527654083290155,,2.6759849324692326,1.1826237701701863,0.7970384763331283,1.063574567269292,0.32944418162615363,3.466856779707775,1.0736087175015123,0.49262719260199306,1.5718430447580578,1.3270918722119336,0.8325767078112597,0.9823189861231928,0.5821460454468834,1.099729857195851,1.1628005028840376,0.05399912216896502,1.5382448359965621,1.1105634812907952,1.6251681573600074,0.3037931980372114,1.5101605526938202,0.436300707240267,0.3398108660372728,0.9278224025531697
7,Man Utd,1.0739699211052416,29,0.810823494661656,0.5528804567830049,1.177146093077293,0.806082878166891,0.8058478324405408,,1.1147785850488903,1.8946742724339882,1.2144305859385822,0.6062387970843192,1.5691370183152924,1.0540572734997329,1.3181702807155053,0.8215989199344267,1.2908119791994273,0.5441039637497258,0.6722869772334097,1.3301951082991705,2.521986656810812,0.5016342931180786,1.826421416425361,1.17732918295966,0.7360304963108564,0.8606077104949023,0.90726502518123,0.2409750058366034,1.608735509633798,0.7484454631075019,0.2805596349737336,2.1518728006176153
8,Sheffield Utd,1.056474728742679,28,0.6603529518440846,,1.4524276451481684,0.9785717464249111,0.5743376624074613,,0.9967651544127074,0.9459392966095401,1.3938078060745016,0.8812391682074044,1.7641365239137083,1.1193160200590277,0.6176531511530353,1.1503076815563646,0.42810683311240516,0.6456192300012285,1.8171917061975984,1.6045692445135051,0.6950290685448431,2.600059673971923,0.8454968720905691,0.8291909640977642,0.18063172008977418,1.4450977899011113,0.5829493192506772,1.7373351618643638,1.3925430715894755,0.6097384758806077,1.0531347493514212,0.5797437165268293
9,Arsenal,0.9837294780693373,28,1.1604250929329558,,1.5327029440239937,2.3665647839849133,1.52403306053382,,0.7782310424402011,0.3801793836508501,0.5131151734881434,1.004640287068832,1.0163392237200701,0.6664794140371666,0.9507355114837087,0.1697878866056792,0.8435389684060587,0.8053258077224895,0.2996547749143134,0.49650076971523743,1.0284900471139868,1.1141608540158403,0.6704538750624711,0.9514805012390409,0.9839770537005909,2.0127067103350216,0.9845031460896452,0.8920620753489786,1.5874537384554401,0.6937951078171279,1.1970200530017518,0.9200680990331229
10,Southampton,0.9737727712365986,29,0.2556916057738972,0.5903208590836814,1.1884739050638493,0.6172679591197966,0.6653105850245616,,1.08806818394821,0.8200097121549953,2.0552952227485792,1.3416568639801025,0.8884036118675133,0.6882571436911573,0.8863105823234058,0.3326167232996348,1.0072704721624153,1.4948877060036465,1.6809422847342201,1.5522457151452993,0.03296455956638291,0.07690394896550788,0.450523058356193,0.916967859705903,0.3286189233576071,0.5184930222217067,0.6763359493843956,1.6294227851388738,0.9813784725653598,1.886682722685658,2.6726200780970695,0.9154698496917277
11,West Ham,0.968219380067417,29,1.471541328832472,2.5571529847798167,0.7240333243652268,0.13251408418660987,1.122042664692712,1.0931533241431326,0.28320881642517504,1.8196728748282958,0.48151875141603917,1.2458599369853176,0.7500858477121387,0.7444389154300829,,0.7893378995527776,0.314517851144507,0.655317398445063,1.5347936866827163,0.592505514222728,0.45800016763513474,0.6298647633593192,2.705188295491489,0.41157857805150405,1.0627985558115762,0.8995592113920075,0.4513089256941198,0.3314163849328508,1.2807283003760632,1.7916745482403742,0.9349160357185923,0.8096330514072531
12,Brighton,0.9501661303745202,29,0.3862492266373408,1.2116391187705624,1.0339465762905526,0.4799202560918106,1.2566209701612945,,0.8861814698639441,0.44690785754740414,0.48159039435847933,1.8426720336774987,0.770195868257208,0.8679366804093736,0.346451027100175,0.8125188819177805,0.8610492223565126,1.1263443355372857,1.187147890671508,0.89558841415421,1.5861001574861076,1.6322003060988628,0.2805286506189711,0.8000433971979475,0.8248117360580629,0.8172921828437469,0.8838762582652105,1.202276158360173,1.163545460060832,0.9469578614734014,1.7240444369573287,0.8001809516375027
13,Spurs,0.937913007650218,29,0.32132607447803313,0.8623583167044653,0.3012713098658858,1.3905985166729937,0.6216682638056682,,1.0128215726142957,1.4385690657198347,1.427784317101446,0.7900426793986745,0.7334368970340842,0.7846403829435573,0.30758763548305035,1.3196440859225593,2.520842568032013,0.31864527299174367,2.3290808593428727,1.4386701057180316,1.1533675993441452,0.2792962284390067,0.9860929886409623,0.27931272548724073,0.39556997278209355,1.1212793055077985,1.5263191240020264,0.9278014395942531,0.5198172043798157,0.8262558938142832,0.1102573621738487,1.1551194538616363
14,Burnley,0.9166013892156237,29,1.3930346643926588,0.24344517898353632,1.6393992011339076,0.8178564699220986,2.160573550900621,,0.9210079433878533,0.162246819268067,0.5996536830149296,1.4821709989162657,0.39494645707649284,0.6101714355883684,0.10945500731189171,0.9054608778056336,0.7339951422354266,0.6427487808921882,0.7300232553106021,0.5014816343045139,1.4871360353179444,0.08687995444819048,2.9813429973397336,1.1408812883335622,0.5442572526781804,1.042103492534509,1.7443967541406102,0.2742743059474281,0.8890940767743089,0.9476627837673219,0.7896195370735349,0.6061207084527068
15,Aston Villa,0.9012793790252275,28,0.7492523862331649,,0.44504131473799136,1.4261673213430888,0.7398312589042779,,0.5930136358727828,0.7498124479305114,0.3337510241395625,1.314492513474282,0.5575185003948168,0.5114971301464085,0.7113134808232747,0.2286218396002579,1.369746080449589,1.077269876824786,0.8119412800521908,2.116755045443546,0.42557252316870336,0.9672669345531606,0.41446720281754534,1.8619346551245048,1.6165998280285654,0.8093104455944695,1.4166166587291116,0.9820280337205393,0.16630043800771663,0.9821867664503315,1.2469910602686671,0.6105229298725197
16,Bournemouth,0.8998368380817134,29,1.926048212351876,2.1787071919840697,1.7210880437716911,0.6698461348814222,1.2929449891208769,,0.9075419783013842,0.3334615953711785,0.2033992002498954,0.5361991422965607,0.3373334578796827,1.182899461920986,0.12153156421002738,1.3163742849747202,0.2298696745047353,0.25173806167603047,0.6255819206273187,1.0420891409111048,0.309982251960047,1.5103046076211957,0.6980332304396006,0.39750027327274834,0.6170828929936448,1.6430205716973083,1.1701008648896778,1.3296721880712656,0.6331111837907507,1.169766468858411,0.5571778352705616,1.1828618804709168
17,Norwich,0.8770474776989754,29,1.0476737846119524,0.5014724821841935,0.4811175382373615,0.5701748270358792,1.7640666269823744,,0.5957464506501241,0.7651074044766505,0.24259391348785714,1.4832531162332199,0.1780855957332892,0.7409269213446382,1.4127030764644297,1.1987521322687007,0.6088877810239974,0.7855915491060279,0.5645924331048888,1.524825347686119,0.26350108664815003,0.37972002504172836,1.015854892897532,0.33970154891198495,0.4934597506682323,0.6466732267522864,0.43830603628361486,2.5096955502299974,0.7589937015773919,1.3378419680119427,1.662526303500133,1.1225317821155867
18,Watford,0.8532378213119456,29,0.24594467941049064,2.9857901007541265,0.2265829569011347,0.232785337201283,0.803879782845076,,0.7492443949729733,1.4205604500648001,1.377055091209139,1.3982036396048012,0.902509635804522,0.496805770204286,0.6258350002895018,0.8599423500111812,1.3840752478137217,0.2279562074757492,0.14939468618628413,0.5908885078739263,0.7067097502715481,0.9770792168718306,0.08352012404589743,0.6466130489468457,1.539847209297179,0.5414367259437954,0.4513849506042648,1.675154153741508,0.3828940210604442,1.6979840301839282,0.9428661730301975,0.42095357542598283
19,Crystal Palace,0.7004001583930303,29,0.8170655753797367,1.8227784154146822,1.2692327101552603,0.3648882839834543,0.9795948977358675,,0.5814941893741621,0.8501299148541213,0.21240712291099148,0.937024686140245,0.08011058244677303,0.9657598670535222,0.7496123241746991,0.35588842466275766,0.14189563527579743,0.2656798780775313,0.7442262404354955,1.439359134830653,0.6568705914809785,0.3010797147153181,0.8920091788396108,0.34862671309825816,0.9647151735203457,0.6893833813600476,0.995814888350104,0.47734490918259853,0.7347905232280553,0.5705913247762586,0.15964959198863432,0.9435807199519121
20,Newcastle,0.6632251150866556,29,1.3940610864351588,0.7417704590590704,0.12511649361818744,1.0669783447239982,0.3263914527852718,,0.13297195295701036,1.1946397733637895,0.24612515343419705,0.8467293393769892,1.7462485206709037,1.4544959374626125,0.2186037497526249,0.9952123406330962,0.3386765642470373,0.5415325515332247,0.19083088757095718,0.40426552702826324,0.5031725774983316,1.2632828428819094,0.6554213373010137,0.24423551685591197,0.8372430151910871,0.05034415708285006,1.0484013653302084,0.36680431190738716,0.8796035099990609,0.4761680615320644,0.6436340667582892,0.30056744052250756
