,id,goals,own_goals,shots,xG,time,player_id,team_id,position,player,h_a,yellow_card,red_card,roster_in,roster_out,key_passes,assists,xA,xGChain,xGBuildup,positionOrder,team
35,341201,0,0,1,0.02933754399418831,81,617,88,MC,David Silva,a,0,0,341207,0,2,0,0.12832048535346985,0.8290623426437378,0.6714043617248535,9,Manchester City
36,341202,0,0,3,0.4267539978027344,90,750,88,FWR,Riyad Mahrez,a,0,0,0,0,4,2,1.1872620582580566,2.175405263900757,0.6497796773910522,14,Manchester City
37,341203,1,0,2,0.20649389922618866,70,5543,88,FW,Gabriel Jesus,a,0,0,341205,0,0,0,0,0.37270256876945496,0.1662086695432663,15,Manchester City
38,341204,3,0,4,1.5892468690872192,90,618,88,FWL,Raheem Sterling,a,1,0,0,0,0,0,0,1.9026799201965332,0.31343305110931396,16,Manchester City
39,341205,1,0,1,0.7611320614814758,20,619,88,Sub,Sergio Agüero,a,0,0,0,341203,0,0,0,0.5830137729644775,0.5830137729644775,17,Manchester City
40,341206,0,0,0,0,10,314,88,Sub,Ilkay Gündogan,a,0,0,0,341199,0,0,0,0,0,17,Manchester City
41,341207,0,0,0,0,9,6055,88,Sub,Phil Foden,a,0,0,0,341201,0,0,0,0,0,17,Manchester City
42,341180,0,0,0,0,90,706,81,GK,Lukasz Fabianski,h,0,0,0,0,0,0,0,0,0,1,West Ham
43,341181,0,0,0,0,90,6891,81,DR,Ryan Fredericks,h,0,0,0,0,0,0,0,0.07705286890268326,0.07705286890268326,2,West Ham
44,341182,0,0,1,0.4703182280063629,90,3203,81,DC,Issa Diop,h,0,0,0,0,0,0,0,0,0,3,West Ham
45,341183,0,0,0,0,90,6892,81,DC,Fabián Balbuena,h,1,0,0,0,0,0,0,0,0,3,West Ham
46,341184,0,0,0,0,90,534,81,DL,Aaron Cresswell,h,0,0,0,0,0,0,0,0,0,4,West Ham
47,341185,0,0,0,0,90,5553,81,DMC,Declan Rice,h,0,0,0,0,0,0,0,0,0,7,West Ham
48,341186,0,0,0,0,57,1036,81,DMC,Jack Wilshere,h,0,0,341193,0,0,0,0,0,0,7,West Ham
49,341187,0,0,0,0,67,1208,81,AMR,Felipe Anderson,h,1,0,341191,0,0,0,0,0,0,11,West Ham
50,341188,0,0,1,0.07047868520021439,90,535,81,AMC,Manuel Lanzini,h,0,0,0,0,0,0,0,0.07047868520021439,0,12,West Ham
51,341189,0,0,0,0,47,531,81,AML,Michail Antonio,h,0,0,341192,0,1,0,0.07705286890268326,0.07705286890268326,0,13,West Ham
52,341190,0,0,1,0.07705286890268326,90,6144,81,FW,Sébastien Haller,h,0,0,0,0,0,0,0,0.07705286890268326,0,15,West Ham
53,341193,0,0,0,0,33,1691,81,Sub,Robert Snodgrass,h,0,0,0,341186,1,0,0.4703182280063629,0,0,17,West Ham
54,341191,0,0,2,0.5824531316757202,23,191,81,Sub,Chicharito,h,0,0,0,341187,0,0,0,0.5953267812728882,0.07047868520021439,17,West Ham
55,341192,0,0,0,0,43,2335,81,Sub,Pablo Fornals,h,0,0,0,341189,0,0,0,0,0,17,West Ham
56,341220,0,0,0,0,90,7702,238,GK,Dean Henderson,a,0,0,0,0,0,0,0,0,0,1,Sheffield United
57,341221,0,0,0,0,90,7703,238,DC,John Egan,a,0,0,0,0,0,0,0,0,0,3,Sheffield United
58,341222,0,0,0,0,83,7704,238,DC,Chris Basham,a,0,0,341231,0,0,0,0,0.3824998438358307,0.3824998438358307,3,Sheffield United
59,341223,0,0,0,0,90,7705,238,DC,Jack O&#039;Connell,a,0,0,0,0,0,0,0,0.024418622255325317,0.024418622255325317,3,Sheffield United
60,341224,0,0,1,0.01897476054728031,90,7706,238,DMR,George Baldock,a,0,0,0,0,0,0,0,0.10455305874347687,0.10455305874347687,5,Sheffield United
61,341225,0,0,0,0,90,7707,238,DML,Enda Stevens,a,0,0,0,0,0,0,0,0.10455305874347687,0.10455305874347687,6,Sheffield United
62,341227,0,0,0,0,90,7709,238,MC,John Fleck,a,1,0,0,0,2,0,0.043377552181482315,0.10455305874347687,0.10455305874347687,9,Sheffield United
63,341228,0,0,0,0,90,7710,238,MC,Oliver Norwood,a,0,0,0,0,1,0,0.08013443648815155,0.10455305874347687,0.10455305874347687,9,Sheffield United
64,341226,0,0,1,0.018958929926156998,79,7708,238,MC,John Lundstram,a,0,0,341232,0,2,0,0.5640422105789185,0.6685953140258789,0.10455305874347687,9,Sheffield United
65,341230,0,0,2,0.10455305874347687,90,4476,238,FW,Callum Robinson,a,0,0,0,0,0,0,0,0.10455305874347687,0.08013443648815155,15,Sheffield United
66,341229,0,0,2,0.5640422105789185,64,7711,238,FW,David McGoldrick,a,0,0,341233,0,0,0,0,0.6441766619682312,0.08013443648815155,15,Sheffield United
67,341233,0,0,1,0.5383743047714233,26,1736,238,Sub,Oliver McBurnie,a,0,0,0,341229,0,0,0,0,0,17,Sheffield United
68,341231,1,0,1,0.7662742137908936,7,7712,238,Sub,Billy Sharp,a,0,0,0,341222,0,0,0,0,0,17,Sheffield United
69,341232,0,0,0,0,11,7713,238,Sub,Luke Freeman,a,0,0,0,341226,0,0,0,0,0,17,Sheffield United
70,341208,0,0,0,0,90,5603,73,GK,Aaron Ramsdale,h,0,0,0,0,0,0,0,0,0,1,Bournemouth
71,341210,0,0,1,0.05648605525493622,90,458,73,DC,Steve Cook,h,0,0,0,0,0,0,0,0,0,3,Bournemouth
