,assists,goals,h_a,id,key_passes,own_goals,player,player_id,position,positionOrder,red_card,roster_in,roster_out,shots,team_id,time,xA,xG,xGBuildup,xGChain,yellow_card,team_h_name,team_a_name,team_name,opponent_team_name,team_h,team_a,fixture,round
29,1,0,a,341195,2,0,Kyle Walker,638,DR,2,0,0,0,1,88,90,0.17012257874011993,0.04248353838920593,0.2250719517469406,0.2250719517469406,1,West Ham,Man City,11,19,19,11,8,1
30,0,0,a,341196,0,0,Aymeric Laporte,2498,DC,3,0,0,0,0,88,90,0,0,0.07341097295284271,0.07341097295284271,0,West Ham,Man City,11,19,19,11,8,1
31,0,0,a,341197,0,0,John Stones,586,DC,3,0,0,0,0,88,90,0,0,0.1618015170097351,0.1618015170097351,0,West Ham,Man City,11,19,19,11,8,1
32,0,0,a,341198,1,0,Oleksandr Zinchenko,2958,DL,4,0,0,0,1,88,90,0.040737271308898926,0.07983990013599396,0.6564247608184814,0.736264705657959,0,West Ham,Man City,11,19,19,11,8,1
33,1,0,a,341199,3,0,Kevin De Bruyne,447,MC,9,0,341206,0,1,88,80,0.8348922729492188,0.04848058521747589,0.18258841335773468,1.0174806118011475,0,West Ham,Man City,11,19,19,11,8,1
34,0,0,a,341200,0,0,Rodri,2496,MC,9,0,0,0,0,88,90,0,0,0.685762345790863,0.685762345790863,0,West Ham,Man City,11,19,19,11,8,1
35,0,0,a,341201,2,0,David Silva,617,MC,9,0,341207,0,1,88,81,0.12832048535346985,0.02933754399418831,0.6714043617248535,0.8290623426437378,0,West Ham,Man City,11,19,19,11,8,1
36,2,0,a,341202,4,0,Riyad Mahrez,750,FWR,14,0,0,0,3,88,90,1.1872620582580566,0.4267539978027344,0.6497796773910522,2.175405263900757,0,West Ham,Man City,11,19,19,11,8,1
37,0,1,a,341203,0,0,Gabriel Jesus,5543,FW,15,0,341205,0,2,88,70,0,0.20649389922618866,0.1662086695432663,0.37270256876945496,0,West Ham,Man City,11,19,19,11,8,1
38,0,3,a,341204,0,0,Raheem Sterling,618,FWL,16,0,0,0,4,88,90,0,1.5892468690872192,0.31343305110931396,1.9026799201965332,1,West Ham,Man City,11,19,19,11,8,1
39,0,1,a,341205,0,0,Sergio Aguero,619,Sub,17,0,0,341203,1,88,20,0,0.7611320614814758,0.5830137729644775,0.5830137729644775,0,West Ham,Man City,11,19,19,11,8,1
40,0,0,a,341206,0,0,Ilkay Gundogan,314,Sub,17,0,0,341199,0,88,10,0,0,0,0,0,West Ham,Man City,11,19,19,11,8,1
41,0,0,a,341207,0,0,Phil Foden,6055,Sub,17,0,0,341201,0,88,9,0,0,0,0,0,West Ham,Man City,11,19,19,11,8,1
42,0,0,h,341180,0,0,Lukasz Fabianski,706,GK,1,0,0,0,0,81,90,0,0,0,0,0,West Ham,Man City,19,11,19,11,8,1
43,0,0,h,341181,0,0,Ryan Fredericks,6891,DR,2,0,0,0,0,81,90,0,0,0.07705286890268326,0.07705286890268326,0,West Ham,Man City,19,11,19,11,8,1
44,0,0,h,341182,0,0,Issa Diop,3203,DC,3,0,0,0,1,81,90,0,0.4703182280063629,0,0,0,West Ham,Man City,19,11,19,11,8,1
45,0,0,h,341183,0,0,Fabian Balbuena,6892,DC,3,0,0,0,0,81,90,0,0,0,0,1,West Ham,Man City,19,11,19,11,8,1
46,0,0,h,341184,0,0,Aaron Cresswell,534,DL,4,0,0,0,0,81,90,0,0,0,0,0,West Ham,Man City,19,11,19,11,8,1
47,0,0,h,341185,0,0,Declan Rice,5553,DMC,7,0,0,0,0,81,90,0,0,0,0,0,West Ham,Man City,19,11,19,11,8,1
48,0,0,h,341186,0,0,Jack Wilshere,1036,DMC,7,0,341193,0,0,81,57,0,0,0,0,0,West Ham,Man City,19,11,19,11,8,1
49,0,0,h,341187,0,0,Felipe Anderson,1208,AMR,11,0,341191,0,0,81,67,0,0,0,0,1,West Ham,Man City,19,11,19,11,8,1
50,0,0,h,341188,0,0,Manuel Lanzini,535,AMC,12,0,0,0,1,81,90,0,0.07047868520021439,0,0.07047868520021439,0,West Ham,Man City,19,11,19,11,8,1
51,0,0,h,341189,1,0,Michail Antonio,531,AML,13,0,341192,0,0,81,47,0.07705286890268326,0,0,0.07705286890268326,0,West Ham,Man City,19,11,19,11,8,1
52,0,0,h,341190,0,0,Sebastien Haller,6144,FW,15,0,0,0,1,81,90,0,0.07705286890268326,0,0.07705286890268326,0,West Ham,Man City,19,11,19,11,8,1
53,0,0,h,341193,1,0,Robert Snodgrass,1691,Sub,17,0,0,341186,0,81,33,0.4703182280063629,0,0,0,0,West Ham,Man City,19,11,19,11,8,1
54,0,0,h,341191,0,0,Chicharito,191,Sub,17,0,0,341187,2,81,23,0,0.5824531316757202,0.07047868520021439,0.5953267812728882,0,West Ham,Man City,19,11,19,11,8,1
55,0,0,h,341192,0,0,Pablo Fornals,2335,Sub,17,0,0,341189,0,81,43,0,0,0,0,0,West Ham,Man City,19,11,19,11,8,1
56,0,0,a,341220,0,0,Dean Henderson,7702,GK,1,0,0,0,0,238,90,0,0,0,0,0,Bournemouth,Sheffield Utd,15,3,3,15,2,1
57,0,0,a,341221,0,0,John Egan,7703,DC,3,0,0,0,0,238,90,0,0,0,0,0,Bournemouth,Sheffield Utd,15,3,3,15,2,1
58,0,0,a,341222,0,0,Chris Basham,7704,DC,3,0,341231,0,0,238,83,0,0,0.3824998438358307,0.3824998438358307,0,Bournemouth,Sheffield Utd,15,3,3,15,2,1
59,0,0,a,341223,0,0,Jack O&#039;Connell,7705,DC,3,0,0,0,0,238,90,0,0,0.024418622255325317,0.024418622255325317,0,Bournemouth,Sheffield Utd,15,3,3,15,2,1
60,0,0,a,341224,0,0,George Baldock,7706,DMR,5,0,0,0,1,238,90,0,0.01897476054728031,0.10455305874347687,0.10455305874347687,0,Bournemouth,Sheffield Utd,15,3,3,15,2,1
61,0,0,a,341225,0,0,Enda Stevens,7707,DML,6,0,0,0,0,238,90,0,0,0.10455305874347687,0.10455305874347687,0,Bournemouth,Sheffield Utd,15,3,3,15,2,1
62,0,0,a,341227,2,0,John Fleck,7709,MC,9,0,0,0,0,238,90,0.043377552181482315,0,0.10455305874347687,0.10455305874347687,1,Bournemouth,Sheffield Utd,15,3,3,15,2,1
63,0,0,a,341228,1,0,Oliver Norwood,7710,MC,9,0,0,0,0,238,90,0.08013443648815155,0,0.10455305874347687,0.10455305874347687,0,Bournemouth,Sheffield Utd,15,3,3,15,2,1
64,0,0,a,341226,2,0,John Lundstram,7708,MC,9,0,341232,0,1,238,79,0.5640422105789185,0.018958929926156998,0.10455305874347687,0.6685953140258789,0,Bournemouth,Sheffield Utd,15,3,3,15,2,1
65,0,0,a,341230,0,0,Callum Robinson,4476,FW,15,0,0,0,2,238,90,0,0.10455305874347687,0.08013443648815155,0.10455305874347687,0,Bournemouth,Sheffield Utd,15,3,3,15,2,1
66,0,0,a,341229,0,0,David McGoldrick,7711,FW,15,0,341233,0,2,238,64,0,0.5640422105789185,0.08013443648815155,0.6441766619682312,0,Bournemouth,Sheffield Utd,15,3,3,15,2,1
67,0,0,a,341233,0,0,Oliver McBurnie,1736,Sub,17,0,0,341229,1,238,26,0,0.5383743047714233,0,0,0,Bournemouth,Sheffield Utd,15,3,3,15,2,1
68,0,1,a,341231,0,0,Billy Sharp,7712,Sub,17,0,0,341222,1,238,7,0,0.7662742137908936,0,0,0,Bournemouth,Sheffield Utd,15,3,3,15,2,1
69,0,0,a,341232,0,0,Luke Freeman,7713,Sub,17,0,0,341226,0,238,11,0,0,0,0,0,Bournemouth,Sheffield Utd,15,3,3,15,2,1
70,0,0,h,341208,0,0,Aaron Ramsdale,5603,GK,1,0,0,0,0,73,90,0,0,0,0,0,Bournemouth,Sheffield Utd,3,15,3,15,2,1
71,0,0,h,341209,2,0,Nathan Ake,579,DC,3,0,0,0,2,73,90,0.8119425773620605,0.1466239094734192,0,0.014039821922779083,0,Bournemouth,Sheffield Utd,3,15,3,15,2,1
72,0,0,h,341210,0,0,Steve Cook,458,DC,3,0,0,0,1,73,90,0,0.05648605525493622,0,0,0,Bournemouth,Sheffield Utd,3,15,3,15,2,1
73,0,1,h,341211,0,0,Chris Mepham,7384,DC,3,0,0,0,2,73,90,0,0.6975124478340149,0,0.07839858531951904,0,Bournemouth,Sheffield Utd,3,15,3,15,2,1
74,0,0,h,341212,0,0,Adam Smith,825,DMR,5,0,0,0,0,73,90,0,0,0,0,1,Bournemouth,Sheffield Utd,3,15,3,15,2,1
75,0,0,h,341213,1,0,Diego Rico,5065,DML,6,0,0,0,1,73,90,0.02280767261981964,0.013739189133048058,0,0,0,Bournemouth,Sheffield Utd,3,15,3,15,2,1
76,0,0,h,341215,2,0,Philip Billing,6034,MC,9,0,0,0,2,73,90,0.1862698346376419,0.043391212821006775,0,0.09898212552070618,0,Bournemouth,Sheffield Utd,3,15,3,15,2,1
77,0,0,h,341214,0,0,Jefferson Lerma,2182,MC,9,0,0,0,2,73,90,0,0.048081524670124054,0,0.048081524670124054,0,Bournemouth,Sheffield Utd,3,15,3,15,2,1
