id,Teams,XXX Target number XXX,Matches
1,Arsenal,0.0,28
2,Aston Villa,0.0,28
3,Bournemouth,0.0,29
4,Brighton,0.0,29
5,Burnley,0.0,29
6,Chelsea,0.0,29
7,Crystal Palace,0.0,29
8,Everton,0.0,29
9,Leicester,0.0,29
10,Liverpool,0.0,29
11,Man City,0.0,28
12,Man Utd,0.0,29
13,Newcastle,0.0,29
14,Norwich,0.0,29
15,Sheffield Utd,0.0,28
16,Southampton,0.0,29
17,Spurs,0.0,29
18,Watford,0.0,29
19,West Ham,0.0,29
20,Wolves,0.0,29
