,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,yellow_cards,id,gameweek,fixture,team,teamAgainst,side
44,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,429,1,6,2,17,away
45,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,436,1,2,15,3,away
46,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,449,1,1,14,10,away
47,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,450,1,8,19,11,home
48,0,0,12,0,0.0,1,0,1.4,False,13.6,90,0,0,0,0,2,0.0,2,0,471,1,2,15,3,away
49,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,474,1,6,2,17,away
50,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,479,1,4,8,7,away
51,0,0,11,0,0.0,1,0,1.0,False,9.8,90,0,0,0,0,2,0.0,2,0,494,1,2,3,15,home
52,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,495,1,3,5,16,home
53,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,513,1,7,18,4,home
54,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,521,1,2,15,3,away
55,0,0,7,0,0.0,1,0,1.1,False,10.6,51,0,0,0,0,2,0.0,1,0,526,1,1,10,14,home
56,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,1,1,10,1,13,away
57,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,2,1,10,1,13,away
58,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,3,1,10,1,13,away
59,1,3,38,1,12.3,0,0,5.1,True,38.4,90,0,0,0,0,0,0.0,12,0,4,1,10,1,13,away
60,0,2,28,1,0.4,0,0,2.1,False,20.2,90,0,0,0,0,0,0.0,8,0,5,1,10,1,13,away
61,0,1,27,1,15.6,0,0,3.4,False,14.0,90,0,0,0,0,0,4.0,7,0,6,1,10,1,13,away
62,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,7,1,10,1,13,away
63,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,8,1,10,1,13,away
64,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,9,1,10,1,13,away
65,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,10,1,10,1,13,away
66,0,0,10,0,1.0,3,0,1.4,False,13.4,90,0,0,0,0,0,0.0,1,0,22,1,6,2,17,away
67,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,23,1,6,2,17,away
68,0,0,13,0,1.0,3,0,2.5,False,24.2,90,0,0,0,0,0,0.0,1,0,24,1,6,2,17,away
69,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,25,1,6,2,17,away
70,0,0,26,1,0.2,0,0,2.5,False,22.6,90,0,0,0,0,0,2.0,6,0,37,1,7,4,18,away
71,0,0,21,1,12.6,0,0,2.8,False,13.0,90,0,0,0,0,0,2.0,6,0,38,1,7,4,18,away
72,0,0,3,0,0.4,0,0,0.0,False,0.0,1,0,0,0,0,0,0.0,1,0,39,1,7,4,18,away
73,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,40,1,7,4,18,away
74,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,41,1,7,4,18,away
75,1,3,41,1,13.3,0,0,5.1,True,35.6,90,0,0,0,0,0,2.0,11,1,42,1,7,4,18,away
76,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,43,1,7,4,18,away
77,0,0,12,0,0.1,1,0,1.8,False,14.2,90,0,0,0,0,0,4.0,2,0,58,1,2,3,15,home
