,a,datetime,forecast,goals,h,id,isResult,xG
19,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",2019-08-19 20:00:00,"{'w': '0.0594', 'd': '0.2597', 'l': '0.6809'}","{'h': '1', 'a': '1'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",11662,True,"{'h': '0.307356', 'a': '1.14332'}"
20,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}",2019-08-23 20:00:00,"{'w': '0.2213', 'd': '0.3058', 'l': '0.4729'}","{'h': '2', 'a': '0'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}",11663,True,"{'h': '0.855926', 'a': '1.25668'}"
21,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2019-08-24 12:30:00,"{'w': '0.1759', 'd': '0.2595', 'l': '0.5646'}","{'h': '2', 'a': '3'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}",11664,True,"{'h': '1.07904', 'a': '1.89428'}"
22,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",2019-08-24 15:00:00,"{'w': '0.2916', 'd': '0.4017', 'l': '0.3067'}","{'h': '1', 'a': '2'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}",11665,True,"{'h': '0.654318', 'a': '0.704879'}"
23,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}",2019-08-24 15:00:00,"{'w': '0.1192', 'd': '0.2115', 'l': '0.6693'}","{'h': '0', 'a': '2'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}",11666,True,"{'h': '0.997711', 'a': '2.07795'}"
24,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",2019-08-24 15:00:00,"{'w': '0.1537', 'd': '0.1778', 'l': '0.6685'}","{'h': '1', 'a': '3'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",11667,True,"{'h': '2.29348', 'a': '3.45768'}"
25,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",2019-08-24 15:00:00,"{'w': '0.7755', 'd': '0.1616', 'l': '0.0629'}","{'h': '1', 'a': '2'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",11669,True,"{'h': '2.23561', 'a': '0.676993'}"
26,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}",2019-08-24 17:30:00,"{'w': '0.7948', 'd': '0.1361', 'l': '0.0691'}","{'h': '3', 'a': '1'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}",11670,True,"{'h': '2.78821', 'a': '0.985542'}"
27,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",2019-08-25 14:00:00,"{'w': '0.1625', 'd': '0.1736', 'l': '0.6639'}","{'h': '1', 'a': '3'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",11671,True,"{'h': '1.89345', 'a': '3.12856'}"
28,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}",2019-08-25 16:30:00,"{'w': '0.3879', 'd': '0.307', 'l': '0.3051'}","{'h': '1', 'a': '1'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",11668,True,"{'h': '1.32793', 'a': '1.22762'}"
