,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
0,1,10,13,0,False,2019-08-11T13:00:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,33117,0,0
1,1,11,5,0,True,2019-08-17T11:30:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-5280,36709,2868,8148
2,1,24,10,0,False,2019-08-24T16:30:00Z,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-6882,30975,534,7416
3,1,31,17,0,True,2019-09-01T15:30:00Z,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-3872,28096,346,4218
4,1,49,18,0,False,2019-09-15T15:30:00Z,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-2073,26902,581,2654
5,1,51,2,0,True,2019-09-22T15:30:00Z,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1041,26330,373,1414
6,1,67,12,0,False,2019-09-30T19:00:00Z,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1166,25642,359,1525
7,1,71,3,0,True,2019-10-06T13:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-691,25277,393,1084
8,1,88,15,0,False,2019-10-21T19:00:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-469,25175,434,903
9,1,91,7,0,True,2019-10-27T16:30:00Z,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-325,25037,199,524
10,1,101,20,0,True,2019-11-02T15:00:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-411,24909,426,837
11,1,113,9,0,False,2019-11-09T17:30:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-392,24731,228,620
12,1,121,16,0,True,2019-11-23T15:00:00Z,2,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-437,24575,306,743
13,1,137,14,4,False,2019-12-01T14:00:00Z,2,2,14,90,0,1,0,2,0,0,0,0,0,0,0,24,19.8,0.8,54.0,7.5,52,-522,24142,107,629
14,1,141,4,0,True,2019-12-05T20:15:00Z,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-14,24214,294,308
15,1,160,19,0,False,2019-12-09T20:00:00Z,1,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-205,24078,147,352
16,1,161,11,0,True,2019-12-15T16:30:00Z,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-317,23907,120,437
17,1,174,8,0,False,2019-12-21T12:30:00Z,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-205,23900,190,395
18,1,182,3,1,False,2019-12-26T15:00:00Z,1,1,19,13,0,0,0,0,0,0,0,0,0,0,0,3,2.8,0.2,0.0,0.3,52,-181,23785,106,287
