,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,in_dreamteam,id,gameweek,fixture
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,251,18,"[{'fixture': 176, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]"
154,90,0,0,1,0,0,0,0,1,0,0,0,22,14.6,10.3,0.0,2.5,5,False,252,18,"[{'fixture': 176, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'clean_sheets', 'points': 4, 'value': 1}, {'identifier': 'yellow_cards', 'points': -1, 'value': 1}]}]"
155,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,1,False,253,18,"[{'fixture': 176, 'stats': [{'identifier': 'minutes', 'points': 1, 'value': 1}]}]"
156,90,0,0,1,0,0,0,0,0,0,0,0,26,19.2,0.1,0.0,1.9,6,False,254,18,"[{'fixture': 176, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'clean_sheets', 'points': 4, 'value': 1}]}]"
157,90,0,0,1,0,0,0,0,0,0,0,2,28,19.0,37.2,4.0,6.0,8,False,255,18,"[{'fixture': 176, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'clean_sheets', 'points': 4, 'value': 1}, {'identifier': 'bonus', 'points': 2, 'value': 2}]}]"
158,90,0,0,1,0,0,0,0,0,0,0,0,17,14.4,1.8,0.0,1.6,6,False,256,18,"[{'fixture': 176, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'clean_sheets', 'points': 4, 'value': 1}]}]"
159,90,0,0,1,0,0,0,0,0,0,0,0,23,25.2,0.8,9.0,3.5,6,False,257,18,"[{'fixture': 176, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'clean_sheets', 'points': 4, 'value': 1}]}]"
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,258,18,"[{'fixture': 176, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]"
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,259,18,"[{'fixture': 176, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]"
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,272,18,"[{'fixture': 177, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]"
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,273,18,"[{'fixture': 177, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]"
164,90,0,0,0,2,0,0,0,0,0,0,0,11,18.4,2.8,0.0,2.1,1,False,274,18,"[{'fixture': 177, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'goals_conceded', 'points': -1, 'value': 2}]}]"
165,90,0,0,0,2,0,0,0,0,0,0,0,11,11.8,0.5,4.0,1.6,1,False,275,18,"[{'fixture': 177, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'goals_conceded', 'points': -1, 'value': 2}]}]"
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,276,18,"[{'fixture': 177, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]"
167,90,0,0,0,2,0,0,0,1,0,0,0,10,20.0,0.2,4.0,2.4,0,False,277,18,"[{'fixture': 177, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'goals_conceded', 'points': -1, 'value': 2}, {'identifier': 'yellow_cards', 'points': -1, 'value': 1}]}]"
168,90,0,0,1,0,0,0,0,1,0,0,0,18,16.8,27.4,0.0,4.4,5,False,291,18,"[{'fixture': 173, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'clean_sheets', 'points': 4, 'value': 1}, {'identifier': 'yellow_cards', 'points': -1, 'value': 1}]}]"
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,292,18,"[{'fixture': 173, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]"
170,90,0,0,1,0,0,0,0,0,0,0,1,25,15.6,1.2,0.0,1.7,7,False,293,18,"[{'fixture': 173, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'clean_sheets', 'points': 4, 'value': 1}, {'identifier': 'bonus', 'points': 1, 'value': 1}]}]"
171,90,0,0,1,0,0,0,0,0,0,0,0,21,11.0,12.0,0.0,2.3,6,False,294,18,"[{'fixture': 173, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'clean_sheets', 'points': 4, 'value': 1}]}]"
172,90,0,0,1,0,0,0,0,0,0,0,0,19,19.6,0.2,21.0,4.1,6,False,295,18,"[{'fixture': 173, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'clean_sheets', 'points': 4, 'value': 1}]}]"
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,296,18,"[{'fixture': 173, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]"
174,90,0,0,1,0,0,0,0,0,0,0,0,22,8.8,4.3,8.0,2.1,6,False,297,18,"[{'fixture': 173, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'clean_sheets', 'points': 4, 'value': 1}]}]"
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,304,18,"[{'fixture': 171, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]"
